Variable,Description
RINCOM86,Respondents income
INCOME91,Total family income
RINCOM91,Respondents income
INCOME98,Total family income
RINCOM98,Respondents income
INCOME06,Total family income
RINCOM06,Respondents income
INCOME16,Total family income
RINCOM16,Respondents income
REGION,Region of interview
XNORCSIZ,Expanded NORC size code
SRCBELT,SRC beltcode
SIZE,Size of place in 1000s
DOTDATA,D.O.T. code - relation to data
DOTPEOP,D.O.T. code - relation to people
DOTTHNG,D.O.T. code - relation to things
DOTGED,D.O.T. code - general educ develop.
DOTSVP,D.O.T. code - specific vocat. prep
DOTPRES,TEMME prestige scale
SPDOTDAT,SP. D.O.T. code - relation to data
SPDOTPEO,SP. D.O.T. code - relation to people
SPDOTTHN,SP. D.O.T. code - relation to things
SPDOTGED,SP. D.O.T. code - general educ develop.
SPDOTSVP,SP. D.O.T. code - specific vocat. prep
SPDOTPRE,SP. TEMME prestige scale
PADOTDAT,FA. D.O.T. code - relation to data
PADOTPEO,FA. D.O.T. code - relation to people
PADOTTHN,FA. D.O.T. code - relation to things
PADOTGED,FA. D.O.T. code - general educ develop.
PADOTSVP,FA. D.O.T. code - specific vocat. prep
PADOTPRE,FA. TEMME prestige scale
PARTYID,Political party affiliation
VOTE68,Did R vote in 1968 election
PRES68,"Vote for Humphrey, Nixon, or Wallace"
IF68WHO,Who would R have voted for-1968 election
VOTE72,Did R vote in 1972 election
PRES72,Vote for McGovern or Nixon
IF72WHO,Who would R have voted for-1972 election
VOTE76,Did R vote in 1976 election
PRES76,Vote for Carter or Ford
IF76WHO,Who would R have voted for-1976 election
VOTE80,Did R vote in 1980 election
PRES80,"Vote for Carter, Reagan or Anderson"
IF80WHO,Who would R have voted for-1980 election
VOTE84,Did R vote in 1984 election
PRES84,Vote for Reagan or Mondale
IF84WHO,Who would R have voted for-1984 election
VOTE88,Did R vote in 1988 election
PRES88,Vote for Dukakis or Bush
IF88WHO,Who would R have voted for-1988 election
VOTE92,Did R vote in 1992 election
PRES92,"Vote for Clinton, Bush, Perot"
IF92WHO,Who would R have voted for-1992 election
VOTE96,Did R vote in 1996 election
PRES96,"Vote for Clinton, Dole, Perot"
IF96WHO,Who would R have voted for-1996 election
VOTE00,Did R vote in 2000 election
PRES00,"Vote for Gore, Bush, Nader"
IF00WHO,Who would R has voted for in 2000 election
VOTE04,Did R vote in 2004 election
PRES04,"Vote for Kerry, Bush, Nader"
IF04WHO,Who would R has voted for in 2004 election
VOTE08,Did R vote in 2008 election
PRES08,Vote Obama or McCain
IF08WHO,Who you would have voted for
VOTE12,Did R vote in 2012 election
PRES12,Vote Obama or Romney
IF12WHO,Who would R have voted for in 2012 election
VOTE16,REMEMBER IF VOTED IN 2016 ELECTION
PRES16,VOTE CLINTON OR TRUMP
IF16WHO,WHO YOU WOULD HAVE VOTED FOR
POLVIEWS,Think of self as liberal or conservative
POLVIEWY,Liberal or conservative-Version Y
POLVIEWX,Liberal or conservative-Version X
NATSPAC,Space exploration program
NATENVIR,Improving & protecting environment
NATHEAL,Improving & protecting nations health
NATCITY,Solving problems of big cities
NATCRIME,Halting rising crime rate
NATDRUG,Dealing with drug addiction
NATEDUC,Improving nations education system
NATRACE,Improving the conditions of blacks
NATARMS,"Military, armaments, and defense"
NATAID,Foreign aid
NATFARE,Welfare
NATROAD,Highways and bridges
NATSOC,Social security
NATMASS,Mass transportation
NATPARK,Parks and recreation
NATCHLD,Assistance for childcare
NATSCI,Supporting scientific research
NATENRGY,Developing alternative energy sources
NATSPACY,Space exploration:Version Y
NATENVIY,The environment:Version Y
NATHEALY,Health:Version Y
NATCITYY,Assistance to big cities:Version Y
NATCRIMY,Law enforcement:Version Y
NATDRUGY,Drug rehabilitation:Version Y
NATEDUCY,Education:Version Y
NATRACEY,Assistance to blacks:Version Y
NATARMSY,National defense:Version Y
NATAIDY,Assistance to other countries:Ver Y
NATFAREY,Assistance to the poor:Version Y
NATSPACZ,Space exploration:Version Z
NATENVIZ,Improving the environment:Version Z
NATHEALZ,Improving health:Version Z
NATCITYZ,Solving problems of big cities:Ver Z
NATCRIMZ,Reducing crime:Version Z
NATDRUGZ,Reducing drug addiction:Version Z
NATEDUCZ,Improving the education system:Ver Z
NATRACEZ,Improving conditions of blacks:Ver Z
NATARMSZ,Strengthening national defense:Ver Z
NATAIDZ,Helping other countries:Version Z
NATFAREZ,Caring for the poor:Version Z
NATROADZ,Improving highways and bridges:Ver Z
NATSOCZ,Protecting social security:Version Z
NATMASSZ,Improving mass transit:Version Z
NATPARKZ,Improving parks and recreation:Ver Z
EQUAL1,Everyone should look out for self
EQUAL2,Business profits benefit all
EQUAL3,Govt shld insure jobs and stable prices
EQUAL4,Responsibility of govt to meet needs
EQUAL5,Social welfare benefits are disincentive
EQUAL6,One is able to live well in America
EQUAL7,Business profits are distributed fairly
EQUAL8,Social standing due to ability
USCLASS1,Traditional class divisions still remain
USCLASS2,Achievement depends on family background
USCLASS3,Achievement depends on educ and ability
USCLASS4,Ones own efforts don't count
USCLASS5,Personal income not determined by work
USCLASS6,Differences in class are an incentive
USCLASS7,Differences in class reflect own effort
USCLASS8,Social differences are acceptable
EDUCOP,Equal opportunity to obtain education?
GOVCARE,Govt concern for social welfare
EQWLTH,Should govt reduce income differences
EQWLTHY,Govt reduce income differences-Version Y
TAX,R's federal income tax
SPKATH,Allow anti-religionist to speak
COLATH,Allow anti-religionist to teach
LIBATH,Allow anti-religious book in library
SPKSOC,Allow socialist to speak
COLSOC,Allow socialist to teach
LIBSOC,Allow socialists book in library
SPKRAC,Allow racist to speak
COLRAC,Allow racist to teach
LIBRAC,Allow racists book in library
SPKCOM,Allow communist to speak
COLCOM,Should communist teacher be fired
LIBCOM,Allow communists book in library
SPKMIL,Allow militarist to speak
COLMIL,Allow militarist to teach
LIBMIL,Allow militarists book in library
SPKHOMO,Allow homosexual to speak
COLHOMO,Allow homosexual to teach
LIBHOMO,Allow homosexuals book in library
SPKMSLM,Allow muslim clergymen preaching hatred of the us
COLMSLM,Allow anti-American muslim clergymen teaching in college
LIBMSLM,Allow anti-American muslim clergymen's books in library
CAPPUN2,Does R favor capital punishment
CAPPUN,Favor or oppose death penalty for murder
CAPIMP,Importance of death penalty issue to R
CAPINFO,How much info R has on death penalty
CAPFIRM,How firm Is R's opinion of death penalty
GUNLAW,Favor or oppose gun permits
GUNIMP,Importance of gun control issue to R
GUNINFO,How much info Does R have on gun control
GUNFIRM,How firm Is R's opinion on gun control
COURTS,Courts dealing with criminals
COURTSY,Courts dealing with criminals-Version Y
CRIMIMP,Importance of crime issue to R
CRIMINFO,How much info Does R have on crime issue
CRIMFIRM,How firm Is R's opinion on crime issue
LAWIMP,Importance of law enforcement issue to R
LAWINFO,How much info Does R have on law issue
LAWFIRM,How firm Is R's opinion on law issue
WIRTAP,Wiretapping
GRASS,Should marijuana be made legal
GRASSY,Should marijuana be legal-Version Y
RELIG,R's religious preference
DENOM,Specific denomination
OTHER,Other protestant denominations
OTHJEW,Consider self to be Jewish
JEW,What sort of Jew R is
JEWAJ,What sort of Jew R is
FUND,How fundamentalist Is R currently
ATTEND,How often R attends religious services
MAATTEND,How often MA attended religious services
PAATTEND,How often PA attended religious services
SPATTEND,How often SP attends religious services
RELITEN,Strength of affiliation
RELITENA,Strength of affiliation
POSTLIFE,Belief in life after death
POSTLF1,Life of peace and tranquility
POSTLF2,Life of intense action
POSTLF3,Like here on earth only better
POSTLF4,Life without many earthly joys
POSTLF5,Pale or shadowy form of life
POSTLF6,A spiritual life involving mind not body
POSTLF7,Paradise of pleasures and delights
POSTLF8,Place of loving intellectual communion
POSTLF9,Union with god
POSTLF10,Reunion with loved ones
LIKEDIFF,Afterlife contrast: better or lacking
MINDBODY,Afterlife contrast: spiritual or sensual
RESTACT,Afterlife contrast: peaceful or action
PALEFULL,Afterlife contrast: shadows or full
PRAY,How often Does R pray
DEJAVU,Thought one was someplace before
ESP,Felt in touch with someone far away
VISIONS,Perceived events at great distance
SPIRITS,Felt in touch with deceased person
GRACE,Had powerful religious experience
NEARGOD,How close Does R feel to god
JUDGE,Image of god as judge
REDEEMER,Image of god as redeemer
LOVER,Image of god as lover
MASTER,Image of god as master
MOTHER,Image of god as mother
CREATOR,Image of god as creator
FATHER,Image of god as father
SPOUSE,Image of god as spouse
FRIEND,Image of god as friend
KING,Image of god as king
LIBERATR,Image of god as liberator
HEALER,Image of god as healer
MAPA,Contrast between mother and father
MASTERSP,Contrast between master and spouse
JUDGELUV,Contrast between judge and lover
FRNDKING,Contrast between friend and king
CRTRHEAL,Contrast between creator and healer
RDEEMLIB,Contrast between redeemer and liberator
POPESPKS,Pope is infallible on matteR's of faith or morals
RELIG16,Religion in which raised
DENOM16,Denomination in which R was raised
OTH16,Other protestant denominations
OTHJEW16,R raised as a Jew
JEW16,What sort of Jew R was at age 16
JEW16AJ,What sort of Jew R was at age 16
FUND16,How fundamentalist was R at age 16
SPREL,Spouse's religious preference
SPDEN,"Specific denomination, spouse"
SPOTHER,Other protestant denominations
SPOTHJEW,Spouse considers self Jewish
SPJEW,What sort of Jew Is R's spouse currently
SPJEWAJ,What sort of Jew Is R's spouse currently
SPFUND,How fundamentalist is spouse currently
SPREL16,Religion in which spouse raised
SPDEN16,Denomination in which spouse raised
SPOTH16,Other protestant denominations
SPJEW16,What sort of Jew was R's spouse at 16
SPFUND16,How fundamentalist was spouse at 16
COREL,Partner's religious preference
CODEN,Partner's denomination
COOTHER,Other protestant denominations
COJEW,What sort of Jew Is R's partner currently
COFUND,How fundamentalist is partner's current religion
TITHING,How much Does R give to religion
PRAYER,Bible prayer in public schools
PRAYERY,Bible prayer in schools-Version Y
PRAYERX,Bible prayer in schools:Version Z
BIBLE,Feelings about the bible
BIBLEY,Feelings about the bible:Version Z
WORLD1,World image:much evil vs. much good
WORLD2,World image:the good must act vs. not
WORLD3,World image:god not here vs. here
WORLD4,World image:man is good vs. corrupt
WORLD5,World image:arts are good vs. not
WORLD6,World image:chaos vs. harmony
WORLD7,World image:ach. reveals god vs. not
LIBTEMP,Feeling thermometer:liberals
CONTEMP,Feeling thermometer:conservatives
PROTTEMP,Feeling thermometer:protestants
CATHTEMP,Feeling thermometer:catholics
JEWTEMP,Feeling thermometer:Jews
MSLMTEMP,Feeling thermometer:muslims
FEPRIEST,R favors women as priests
FECLERGY,R favors women as ministers
RELGRADE,Grade given religion
RACMAR,Favor law against racial intermarriage
RACMAR10,Favor law against rac intrmar 10 yrs ago
RACDIN,Object to opp. race home for dinner
RACPUSH,Blacks shouldn't push
RACSEG,Whites have right to seg. neighborhood
RACOPEN,Vote on open housing law
RACLIVE,Any opp. race in neighborhood
RACCLOS,Any opp. race living close to R
RACDIS,How far are closest opp. race
RACINTEG,Will neighborhood become all black
RACOBJCT,Neighborhood integrated by same ses
RACHOME,Opp. race home for dinner recently
RACSCHOL,Should whites & blacks go to same school
RACFEW,Children to school with opposite race
RACHAF,Children to school half opposite race
RACMOST,Children to school mostly opposite race
BUSING,Attitude toward racial busing
BUSING10,Favor busing 10 yrs ago
RACPRES,Would vote for black president
RACJOB,Equal opportunities on jobs
RACCHURH,Attend church with other race
COLOR,R's skin color
RACNAME,Preferred racial name
RACHISCH,How integrated was R's high school
RACMIX,How many friends are white
RACNEIGH,Neighborhood R would like to live in
RACNOBUY,Ever boycott certain products
RACTRUST,Trust white people
RACPARTY,Which party helps blacks more
RACOCC,Equality in occupation
RACINC,Equality in income
RACOPNOW,Opportunities improved in last 5 yrs
RACOPWIL,Opportunities improve in next 5 yrs
RACIMP,Importance of race relations issues to R
RACINFO,How much info does R have on race issues
RACFIRM,How firm Is R's opinion on racial issues
RACCARE,R's concern about racial issues
RACTHINK,How often R & friends think about race issues
RACWRITE,R ever written official abt race issues
RACGIVE,Has R given money to racial orgs
RACJOIN,Ever joined org working on racial issues
AFFRMACT,Favor preference in hiring blacks
WRKWAYUP,Blacks overcome prejudice without favors
BLKSIMP,Have conditions for blacks improved
CLOSEBLK,How close feel to blacks
CLOSEWHT,How close feel to whites
ALIENAT1,People running country don't care
ALIENAT2,"Rich get richer, poor poorer"
ALIENAT3,What you think doesn't count
ALIENAT4,You're left out of things
ALIENAT5,Powerful people take advantage of you
ALIENAT6,People in Wash D.C. are out of touch
HAPPY,General happiness
HAPMAR,Happiness of marriage
HAPCOHAB,Happiness of relt with partner
HEALTH,Condition of health
LIFE,Is life exciting or dull
HELPFUL,People helpful or looking out for selves
FAIR,People fair or try to take advantage
TRUST,Can people be trusted
TRUSTY,Can people be trusted-Version Y
TRUST1,Can people be trusted (see Codebook)
SATCITY,City or place R lives in
SATHOBBY,"Non-working activities, hobbies"
SATFAM,Family life
SATFRND,Friendships
SATHEALT,Health and physical condition
CONFINAN,Confid in banks & financial institutions
CONBUS,Confidence in major companies
CONCLERG,Confidence in organized religion
CONEDUC,Confidence in education
CONFED,Confid. in exec branch of fed govt
CONLABOR,Confidence in organized labor
CONPRESS,Confidence in press
CONMEDIC,Confidence in medicine
CONTV,Confidence in television
CONJUDGE,Confid. in united states supreme court
CONSCI,Confidence in scientific community
CONLEGIS,Confidence in congress
CONARMY,Confidence in military
CONFINAY,Banks & financial institutions:Ver Z
CONBUSY,Major companies:Version Z
CONCLERY,Organized religion:Version Z
CONEDUCY,Education:Version Z
CONFEDY,Exec branch fed govt:Version Z
CONLABOY,Organized labor:Version Z
CONPRESY,Press:Version Z
CONMEDIY,Medicine:Version Z
CONTVY,Television:Version Z
CONJUDGY,United states supreme court:Version Z
CONSCIY,Scientific community:Version Z
CONLEGIY,Congress:Version Z
CONARMYY,Military:Version Z
MANNERS,Good manners
SUCCESS,Tries hard to succeed
HONEST,Honest
CLEAN,Neat and clean
JUDGMENT,Good sense and sound judgment
CONTROL,Self-control
ROLE,Acts like boy-acts like girl
AMICABLE,Gets along well with other children
OBEYS,Obeys parents well
RESPONSI,Responsible
CONSIDER,Considerate of others
INTEREST,Interested how and why things happen
STUDIOUS,Good student
MANNERSY,Good manners-Version Y
SUCCESSY,Tries hard to succeed-Version Y
HONESTY,Honest-Version Y
CLEANY,Neat and clean-Version Y
JUDGMENY,"Good sense, sound judgment-Version Y"
CONTROLY,Self-control-Version Y
ROLEY,Acts like boy-acts like girl-Version Y
AMICABLY,Gets along with other children-Version Y
OBEYSY,Obeys parents well-Version Y
RESPONSY,Responsible-Version Y
CONSIDEY,Considerate of others-Version Y
INTERESY,Interested how things happen-Version Y
STUDIOUY,Good student-Version Y
MANNERSZ,Good manners-Version Z
SUCCESSZ,Tries hard to succeed-Version Z
HONESTZ,Honest-Version Z
CLEANZ,Neat and clean-Version Z
JUDGMENZ,"Good sense, sound judgment-Version Z"
CONTROLZ,Self-control-Version Z
ROLEZ,Acts like boy-acts like girl-Version Z
AMICABLZ,Gets along with other children-Version Z
OBEYSZ,Obeys parents well-Version Z
RESPONSZ,Responsible-Version Z
CONSIDEZ,Considerate of others-Version Z
INTERESZ,Interested how things happen-Version Z
STUDIOUZ,Good student-Version Z
OBEY,To obey
POPULAR,To be well liked or popular
THNKSELF,To think for ones self
WORKHARD,To work hard
HELPOTH,To help others
CHLDSEX,Qualities for boys or girls
CHLDSEX1,Qualities for boys or girls:variant
YOUNGEN,What should younger generation be taught
SOCREL,Spend evening with relatives
SOCOMMUN,Spend evening with neighbor
SOCFREND,Spend evening with friends
SOCBAR,Spend evening at bar
SOCPARS,Spend evening with parents
SOCSIBS,Spend evening with siblings
AGED,Should aged live with their children
AGEDPAR,Should aged live with their children
AGEDCHLD,Should grown children live with parents
WEEKSWRK,Weeks R worked last year
PARTFULL,Was R's work part-time or full-time?
DRINK,Ever drink alcoholic beverages?
DRUNK,Ever drink too much?
SMOKE,Does R smoke
QUITSMK,Ever tried to quit smoking
SMOKECIG,Does R smoke cigarettes
CIGWEEK,Has R smoked cigarettes in last week
EVSMOKE,Has R ever smoked
ANOMIA1,"Next to health, money is most important"
ANOMIA2,Wonder if anything is worthwhile
ANOMIA3,No right & wrong ways to make money
ANOMIA4,Live only for today
ANOMIA5,Lot of the average man getting worse
ANOMIA6,Not fair to bring child into world
ANOMIA7,Officials not interested in average man
ANOMIA8,Don't know whom to trust
ANOMIA9,Most don't care what happens to others
JOBLOSE,Is R likely to lose job
JOBFIND,Could R find equally good job
SATJOB,Work satisfaction
SATJOBHV,Job satisfaction
RICHWORK,"If rich, continue or stop working"
JOBINC,High income
JOBSEC,No danger of being fired
JOBHOUR,Short working hours
JOBPROMO,Chances for advancement
JOBMEANS,Work important and feel accomplishment
JOBKEEP,Job security
JOBPAY,High income
JOBRISE,Opportunity for advancement
JOBHONOR,Occupation is recognized and respected
JOBOFF,Leaves time for leisure
JOBINTER,Interesting work
JOBINDEP,Allows one to work independently
JOBRESP,Responsible job tasks
JOBPEOP,Contact with other people
JOBHELP,Can help others
JOBSOC,Useful to society
JOBACCMP,Doing something meaningful
JOBSAFE,Safe conditions
CLASS,Subjective class identification
CLASSY,Subjective social class-Version Y
RANK,R's self ranking of social position
RANK10,R's social rank 10 years ago
SATFIN,Satisfaction with financial situation
FINALTER,Change in financial situation
FINRELA,Opinion of family income
INCNEED,Income family needs
MININC,Minimum amount of income needed per week
WKSUB,Does R or spouse have supervisor
WKSUBS,Does supervisor have supervisor
WKSUB1,Does R or spouse or partneR have a supervisor
WKSUBS1,Does supervisor have supervisor
WKSUP,Does R or spouse supervise anyone
WKSUPS,Does subordinate supervise anyone
WKSUP1,Does R or spouse or partner supervise anyone
WKSUPS1,Does subordinant supervise anyone
UNEMP,Ever unemployed in last ten yrs
GOVAID,"Ever receive welfare, unemp insur, etc."
GETAID,Ever received welfare?
UNION,Does R or spouse belong to union
UNION1,Does R or spouse or partner belong to union
GETAHEAD,Opinion of how people get ahead
PARSOL,R's living standard compared to parents
KIDSSOL,R's kids living standard compared to R
FEHOME,Women take care of home not country
FEWORK,Should women work
FEPRES,Vote for woman president
FEPOL,Women not suited for politics
FEPOLY,Men or women better suited for politics
FEIMP,Importance of women's rights issue to R
FEINFO,How much info R has on women's rgts
FEFIRM,How firm Is R's opinion on women's rghts
FECARE,R's concern about women's rights
FETHINK,How oft R & frnds think abt women's rgts
FEWRITE,R ever written official abt women's rgts
FEGIVE,Has R given money to women's rights orgs
FEJOIN,Ever joined org working on women's rgts
ABDEFECT,Strong chance of serious defect
ABNOMORE,Married--wants no more children
ABHLTH,Woman's health seriously endangered
ABPOOR,Low income--cant afford more children
ABRAPE,Pregnant as result of rape
ABSINGLE,Not married
ABANY,Abortion if woman wants for any reason
ABORCT,Heard supreme court decision on abortion
ABPRO1,1st argument for abortion
ABPRO2,2nd argument for abortion
ABPRO3,3rd argument for abortion
ABCON1,1st argument against abortion
ABCON2,2nd argument against abortion
ABCON3,3rd argument against abortion
ABIMP,Importance of abortion issue to R
ABINFO,How much info does R have on abortion
ABFIRM,How firm is R's opinion on abortion
ABCARE,How concerned is R about abortion
CHLDIDEL,Ideal number of children
CHLDMORE,Expect more children
CHLDNUM,How many children expected
CHLDSOON,Children expected in 5 years
PILL,Birth control information
TEENPILL,Birth control information to teens
PILLOK,Birth control to teenagers 14-16
SEXEDUC,Sex education in public schools
DIVLAW,Divorce laws
DIVLAWY,Divorce laws-Version Y
SPDUE,Ever entitled to alimony or chld support
SPPAID,Regularly received alimony - chld supprt
PREMARSX,Sex before marriage
TEENSEX,Sex before marriage:teens 14-16
XMARSEX,Sex with person other than spouse
HOMOSEX,Homosexual sex relations
HOMOCHNG,Homosexuality: inherent or choice?
PORNINF,Materials provide info about sex
PORNMORL,Materials lead to breakdown in morals
PORNRAPE,Materials lead to rape
PORNOUT,Materials provide outlet
PORNLAW,Feelings about pornography laws
XMOVIE,Seen x-rated movie in last year
XMOVIE1,Seen porn film (theater or vcr) last yr
PORNIMP,Importance of pornography issue to R
PORNINFO,How much info Does R have on porn issue
PORNFIRM,How firm Is R's opinion on porn issue
SPANKING,Favor spanking to discipline child
LETDIE1,Allow incurable patients to die
LETDIE2,Let patients die if doctors agree
SUICIDE1,Suicide if incurable disease
SUICIDE2,Suicide if bankrupt
SUICIDE3,Suicide if dishonored family
SUICIDE4,Suicide if tired of living
SUINUM,People R knows suicide over lifetime
SUINUM1,People R knows suicide over lifetime
SUIREL1,R's relationship to closest suicide
SUINEG1,Did closest suicide negatively impact you
SUICLSE1,How close were you to closest suicide victim
SUITIME1,How many years and months since closest suicide
SUIMTHS1,How many months since closest suicide
SUIYRS1,How many years since closest suicide
SUIREL2,R's relationship to 2nd closest suicide
SUINEG2,Did 2nd closest suicide negatively impact you
SUICLSE2,How close wereyou to 2nd closest suicide victim
SUITIME2,How many years and months since 2nd closest suicide
SUIMTHS2,How many months since 2nd closest suicide
SUIYRS2,How many years since 2nd closest suicide
STRIKE,Picketing for labor strike
CIVRIGHT,Civil rights demonstration
ANTIWAR,Anti-war demonstration
PROWAR,Pro-war demonstration
SCHOOL,School related demonstration
HIT,Ever punched or beaten by another person
HITAGE,Beaten as child or adult
HITNUM,If beaten--how many times
GUN,Ever threatened with gun or shot at
GUNAGE,Threatened or shot at as child or adult
GUNNUM,If threatened or shot at--how many times
HITOK,Ever approve of man punching adult male
HITMARCH,Stranger in protest march
HITDRUNK,Drunk bumped into man & wife
HITCHILD,Stranger had hit mans child
HITBEATR,Stranger was beating up a woman
HITROBBR,Stranger had broken into mans house
POLHITOK,Ever approve of police striking citizen
POLABUSE,Citizen said vulgar or obscene things
POLMURDR,Citizen questioned as murder suspect
POLESCAP,Citizen attempting to escape custody
POLATTAK,Citizen attacking policeman with fists
FEAR,Afraid to walk at night in neighborhood
FEARHOME,Does R feel safe and secure at home
BURGLR,Home broken into during the last year
ROBBRY,Forcefully robbed during the last year
OWNGUN,Have gun in home
PISTOL,Pistol or revolver in home
SHOTGUN,Shotgun in home
RIFLE,Rifle in home
ROWNGUN,Does gun belong to R
