Variable,Description
ADONLTRT4,SAQ 12 MTHS: COUNSEL TRTMENT ONLINE R4
ADOSTP4,SAQ: DX WITH OSTEOPOROSIS R4
ADOSTP8,SAQ: DX WITH OSTEOPOROSIS R8
ADOVER2,SAQ: CAN OVERCOME ILLS WITHOUT MED HELP R2
ADOVER6,SAQ: CAN OVERCOME ILLS WITHOUT MED HELP R6
ADPAIN2,SAQ 4WKS: PAIN LIMITS NORMAL WORK VR-12 R2
ADPAIN4,SAQ 4WKS: PAIN LIMITS NORMAL WORK VR-12 R4
ADPAIN6,SAQ 4WKS: PAIN LIMITS NORMAL WORK VR-12 R6
ADPAIN8,SAQ 4WKS: PAIN LIMITS NORMAL WORK VR-12 R8
ADPAP4,SAQ 5 YRS: HAD PAP SMEAR TEST R4
ADPAP8,SAQ 5 YRS: HAD PAP SMEAR TEST R8
ADPAPG4,SAQ: AGE AT LAST PAP SMEAR TEST R4
ADPAPG8,SAQ: AGE AT LAST PAP SMEAR TEST R8
ADPCFL2,SAQ 4WKS: FELT CALM/PEACEFUL VR-12 R2
ADPCFL4,SAQ 4WKS: FELT CALM/PEACEFUL VR-12 R4
ADPCFL6,SAQ 4WKS: FELT CALM/PEACEFUL VR-12 R6
ADPCFL8,SAQ 4WKS: FELT CALM/PEACEFUL VR-12 R8
ADPHONTRT4,SAQ 12 MTHS: COUNSEL TRTMENT TELEPH HOTLINE R4
ADPNEU4,SAQ: EVER HAD PNEUMONIA SHOT R4
ADPNEU8,SAQ: EVER HAD PNEUMONIA SHOT R8
ADPROBTRT4,SAQ 12 MTHS: PROBLEM NEEDED COUNSEL TRTMENT R4
ADPROBTRT8,SAQ 12 MTHS: PROBLEM NEEDED COUNSEL TRTMENT R8
ADPROS4,SAQ: HAD PROSTATE CANCER R4
ADPROS8,SAQ: HAD PROSTATE CANCER R8
ADPROX2,SAQ: RELATIONSHIP OF PROXY TO ADULT R2
ADPROX4,SAQ: RELATIONSHIP OF PROXY TO ADULT R4
ADPROX6,SAQ: RELATIONSHIP OF PROXY TO ADULT R6
ADPROX8,SAQ: RELATIONSHIP OF PROXY TO ADULT R8
ADPRST2,SAQ 4WKS: FELT DOWNHEARTED/DEPR VR-12 R2
ADPRST4,SAQ 4WKS: FELT DOWNHEARTED/DEPR VR-12 R4
ADPRST6,SAQ 4WKS: FELT DOWNHEARTED/DEPR VR-12 R6
ADPRST8,SAQ 4WKS: FELT DOWNHEARTED/DEPR VR-12 R8
ADPRTM2,SAQ 12 MOS: DR SPENT ENUF TIME WITH YOU R2
ADPRTM6,SAQ 12 MOS: DR SPENT ENUF TIME WITH YOU R6
ADPSAG4,SAQ: AGE LAST PSA TEST R4
ADPSAG8,SAQ: AGE LAST PSA TEST R8
ADQTHP4,SAQ 12 MTHS: DR ADVS OTH WAY QUIT TOBAC R4
ADQTHP8,SAQ 12 MTHS: DR ADVS OTH WAY QUIT TOBAC R8
ADQTMD4,SAQ 12 MTHS: DR ADVS MEDS TO QUIT TOBAC R4
ADQTMD8,SAQ 12 MTHS: DR ADVS MEDS TO QUIT TOBAC R8
ADQTTB4,SAQ 12 MTHS: DID DR ADVISE QUIT TOBACCO R4
ADQTTB8,SAQ 12 MTHS: DID DR ADVISE QUIT TOBACCO R8
ADRATETRT4,"SAQ 12 MTHS: RATE COUNSEL TRTMENT (0, worst-10, best) R4"
ADRELTRT4,SAQ 12 MTHS: COUNSEL TRTMENT RELIG ADVISOR R4
ADRESP2,SAQ 12 MOS: DR SHOWED RESPECT R2
ADRESP6,SAQ 12 MOS: DR SHOWED RESPECT R6
ADREST2,SAQ 30 DAYS: HOW OFTEN FELT RESTLESS R2
ADREST4,SAQ 30 DAYS: HOW OFTEN FELT RESTLESS R4
ADREST6,SAQ 30 DAYS: HOW OFTEN FELT RESTLESS R6
ADREST8,SAQ 30 DAYS: HOW OFTEN FELT RESTLESS R8
ADRISK2,SAQ: MORE LIKELY TO TAKE RISKS R2
ADRISK6,SAQ: MORE LIKELY TO TAKE RISKS R6
ADRNK44,SAQ 12 MTHS: HAD 4+ DRINKS PER DAY R4
ADRNK48_M20,SAQ 12 MTHS: USUALLY HAVE 4+ DRINKS PER DRINKING DAY R8
ADRNK54,SAQ 12 MTHS: HAD 5+ DRINKS PER DAY R4
ADRNK58_M20,SAQ 12 MTHS: USUALLY HAVE 5+ DRINKS PER DRINKING DAY R8
ADRTCR2,SAQ 12 MOS: MADE APPT ROUTINE MED CARE R2
ADRTCR6,SAQ 12 MOS: MADE APPT ROUTINE MED CARE R6
ADRTWW2,SAQ 12 MOS: GOT MED APPT WHEN WANTED R2
ADRTWW6,SAQ 12 MOS: GOT MED APPT WHEN WANTED R6
ADSAD2,SAQ 30 DAYS: HOW OFTEN FELT SAD R2
ADSAD4,SAQ 30 DAYS: HOW OFTEN FELT SAD R4
ADSAD6,SAQ 30 DAYS: HOW OFTEN FELT SAD R6
ADSAD8,SAQ 30 DAYS: HOW OFTEN FELT SAD R8
ADSCHTRT4,SAQ 12 MTHS: COUNSEL TRTMENT SCHL RESOURCE R4
ADSEX4,SAQ: SURVEY GENDER R4
ADSEX8,SAQ: SURVEY GENDER R8
ADSGMD4,SAQ 5 YRS: HAD SIGMOIDOSCOPY R4
ADSGMD8,SAQ 5 YRS: HAD SIGMOIDOSCOPY R8
ADSHNG4,SAQ: EVER HAD SHINGLES VACCINE R4
ADSHNG8,SAQ: EVER HAD SHINGLES VACCINE R8
ADSLEEP4,SAQ: HOW OFTEN TROUBLE WITH SLEEP R4
ADSLEEP8,SAQ HOW OFTEN TROUBLE WITH SLEEP R8
ADSMOK2,SAQ: CURRENTLY SMOKE R2
ADSMOK6,SAQ: CURRENTLY SMOKE R6
ADSNSP2,SAQ 12MOS: HOW ESY TO SEE SPECIALIST R2
ADSNSP6,SAQ 12MOS: HOW ESY TO SEE SPECIALIST R6
ADSOCA2,SAQ 4WKS: HLTH STOPPED SOC ACTIV VR-12 R2
ADSOCA4,SAQ 4WKS: HLTH STOPPED SOC ACTIV VR-12 R4
ADSOCA6,SAQ 4WKS: HLTH STOPPED SOC ACTIV VR-12 R6
ADSOCA8,SAQ 4WKS: HLTH STOPPED SOC ACTIV VR-12 R8
ADSPCL2,SAQ 12 MOS: NEEDED TO SEE SPECIALIST R2
ADSPCL6,SAQ 12 MOS: NEEDED TO SEE SPECIALIST R6
ADSTAL4,SAQ 12 MTHS: ADVISED TO STOP ALCOHOL R4
ADSTAL8,SAQ 12 MTHS: ADVISED TO STOP ALCOHOL R8
ADTBAC4,SAQ 12 MTHS: DID DR ASK ABOUT TOBACCO R4
ADTBAC8,SAQ 12 MTHS: DID DR ASK ABOUT TOBACCO R8
ADTLHW2,SAQ 12 MOS: DR ASKED R DESC HOW FOLLOW R2
ADTLHW6,SAQ 12 MOS: DR ASKED R DESC HOW FOLLOW R6
ADTRTEXP4,SAQ: WORRY FAMILY FINANCE STABILITY M HEALTH R4
ADTRTEXP8,SAQ WORRY FAMILY FINANCE STABILITY M HEALTH R8
ADTRTHLP4,SAQ 12 MTHS: COUNSEL TRTMENT HELPED R4
ADTRTPD4,SAQ 12 MTHS: COUNSEL TRTMENT PAID BY OTHER R4
ADUNABTRT4,SAQ 12 MTHS: NOT GET NEEDED COUNSEL TRTMENT R4
ADUNABTRT8,SAQ 12 MTHS: NOT GET NEEDED COUNSEL TRTMENT R8
ADUNEXPEXP8,SAQ: COVER UNEXPECTED EXPENSE R8
ADUPRO2,PRBLM GETTING ALONG W/ADULTS (5-17)-R2
ADUPRO6,PRBLM GETTING ALONG W/ADULTS (5-17)-R6
ADUTRM4,SAQ: HAD HYSTRCTMY/CRVCL CANCER R4
ADUTRM8,SAQ: HAD HYSTRCTMY/CRVCL CANCER R8
ADWGHD4,SAQ 12 MTHS: WEIGHED BY PROFESSIONAL R4
ADWGHD8,SAQ 12 MTHS: WEIGHED BY PROFESSIONAL R8
ADWKLM2,SAQ 4WKS:WORK LIMT B/C PHY PROBS VR-12 R2
ADWKLM4,SAQ 4WKS:WORK LIMT B/C PHY PROBS VR-12 R4
ADWKLM6,SAQ 4WKS:WORK LIMT B/C PHY PROBS VR-12 R6
ADWKLM8,SAQ 4WKS:WORK LIMT B/C PHY PROBS VR-12 R8
ADWRTH2,SAQ 30 DAYS: HOW OFTEN FELT WORTHLESS R2
ADWRTH4,SAQ 30 DAYS: HOW OFTEN FELT WORTHLESS R4
ADWRTH6,SAQ 30 DAYS: HOW OFTEN FELT WORTHLESS R6
ADWRTH8,SAQ 30 DAYS: HOW OFTEN FELT WORTHLESS R8
ADWTAD4,SAQ 12 MTHS: WEIGHT MANAGEMENT ADVICE R4
ADWTAD8,SAQ 12 MTHS: WEIGHT MANAGEMENT ADVICE R8
AFRDCA2,COULD NOT AFFORD MED CARE-R2
AFRDCA4,COULD NOT AFFORD MED CARE-R4
AFRDCA6,COULD NOT AFFORD MED CARE-R6
AFRDCA8,COULD NOT AFFORD MED CARE-R8
AFRDDN2,COULD NOT AFFORD DENTAL CARE-R2
AFRDDN4,COULD NOT AFFORD DENTAL CARE-R4
AFRDDN6,COULD NOT AFFORD DENTAL CARE-R6
AFRDDN8,COULD NOT AFFORD DENTAL CARE-R8
AFRDPM2,COULD NOT AFFORD PMED CARE-R2
AFRDPM4,COULD NOT AFFORD PMED CARE-R4
AFRDPM6,COULD NOT AFFORD PMED CARE-R6
AFRDPM8,COULD NOT AFFORD PMED CARE-R8
AFTHOU2,HOW DIFF CONTACT USC AFT HOURS-R2
AFTHOU4,HOW DIFF CONTACT USC AFT HOURS-R4
AFTHOU6,HOW DIFF CONTACT USC AFT HOURS-R6
AFTHOU8,HOW DIFF CONTACT USC AFT HOURS-R8
AGE1X,AGE - R1 (EDITED/IMPUTED)
AGE2X,AGE - R2 (EDITED/IMPUTED)
AGE3X,AGE - R3 (EDITED/IMPUTED)
AGE4X,AGE - R4 (EDITED/IMPUTED)
AGE5X,AGE - R5 (EDITED/IMPUTED)
AGE6X,AGE - R6 (EDITED/IMPUTED)
AGE7X,AGE - R7 (EDITED/IMPUTED)
AGE8X,AGE - R8 (EDITED/IMPUTED)
AGE9X,AGE - R9 (EDITED/IMPUTED)
AGELSTY1,PERSON'S AGE LAST TIME ELIGIBLE 19
AGELSTY2,PERSON'S AGE LAST TIME ELIGIBLE 20
AGELSTY3,PERSON'S AGE LAST TIME ELIGIBLE 21
AGELSTY4,PERSON'S AGE LAST TIME ELIGIBLE 22
AGEY1X,AGE AS OF 12/31/19 (EDITED/IMPUTED)
AGEY2X,AGE AS OF 12/31/20 (EDITED/IMPUTED)
AGEY3X,AGE AS OF 12/31/21 (EDITED/IMPUTED)
AGEY4X,AGE AS OF 12/31/22 (EDITED/IMPUTED)
AIDHLP1,USED ASSISTIVE DEVICES R1
AIDHLP3,USED ASSISTIVE DEVICES R3
AIDHLP5,USED ASSISTIVE DEVICES R5
AIDHLP7,USED ASSISTIVE DEVICES R7
ALIIMPY1,ALIMONY INCOME IMPUTATION FLAG 19
ALIIMPY2,ALIMONY INCOME IMPUTATION FLAG 20
ALIIMPY3,ALIMONY INCOME IMPUTATION FLAG 21
ALIIMPY4,ALIMONY INCOME IMPUTATION FLAG 22
ALIMPY1X,PERSON'S ALIMONY INCOME 19
ALIMPY2X,PERSON'S ALIMONY INCOME 20
ALIMPY3X,PERSON'S ALIMONY INCOME 21
ALIMPY4X,PERSON'S ALIMONY INCOME 22
ALL9RDS,INSCOPE AND DATA COLLECTED ALL 9 ROUNDS
ANGIAGY1,AGE OF DIAGNOSIS-ANGINA 19
ANGIAGY2,AGE OF DIAGNOSIS-ANGINA 20
ANGIAGY3,AGE OF DIAGNOSIS-ANGINA 21
ANGIAGY4,AGE OF DIAGNOSIS-ANGINA 22
ANGIDXY1,ANGINA DIAGNOSIS (>17) 19
ANGIDXY2,ANGINA DIAGNOSIS (>17) 20
ANGIDXY3,ANGINA DIAGNOSIS (>17) 21
ANGIDXY4,ANGINA DIAGNOSIS (>17) 22
ANYLMIY1,"ANY LIMITATION IN P24R1,2 19"
ANYLMIY2,"ANY LIMITATION IN P24R3,4,5 20"
ANYLMIY3,"ANY LIMITATION IN P24R5,6,7 21"
ANYLMIY4,"ANY LIMITATION IN P24R7,8 22"
ARTHAGY1,AGE OF DIAGNOSIS-ARTHRITIS 19
ARTHAGY2,AGE OF DIAGNOSIS-ARTHRITIS 20
ARTHAGY3,AGE OF DIAGNOSIS-ARTHRITIS 21
ARTHAGY4,AGE OF DIAGNOSIS-ARTHRITIS 22
ARTHDXY1,ARTHRITIS DIAGNOSIS (>17) 19
ARTHDXY2,ARTHRITIS DIAGNOSIS (>17) 20
ARTHDXY3,ARTHRITIS DIAGNOSIS (>17) 21
ARTHDXY4,ARTHRITIS DIAGNOSIS (>17) 22
ARTHTPY1,TYPE OF ARTHRITIS DIAGNOSED (>17) 19
ARTHTPY2,TYPE OF ARTHRITIS DIAGNOSED (>17) 20
ARTHTPY3,TYPE OF ARTHRITIS DIAGNOSED (>17) 21
ARTHTPY4,TYPE OF ARTHRITIS DIAGNOSED (>17) 22
ASACUT1,USED ACUTE PRESCRIBED INHALER LAST 3 MOS R1
ASACUT3,USED ACUTE PRES INHALER LAST 3 MOS R3
ASACUT5,USED ACUTE PRES INHALER LAST 3 MOS R5
ASACUT7,USED ACUTE PRES INHALER LAST 3 MOS R7
ASATAK1,ASTHMA ATTACK LAST 12 MOS- R1
ASATAK3,ASTHMA ATTACK LAST 12 MOS- R3
ASATAK5,ASTHMA ATTACK LAST 12 MOS- R5
ASATAK7,ASTHMA ATTACK LAST 12 MOS- R7
ASDALY1,NOW TAKE PREV DAILY ASTHMA MEDS R1
ASDALY3,NOW TAKE PREV DAILY ASTHMA MEDS R3
ASDALY5,NOW TAKE PREV DAILY ASTHMA MEDS R5
ASDALY7,NOW TAKE PREV DAILY ASTHMA MEDS R7
ASEVFL1,EVER USED PEAK FLOW METER R1
ASEVFL3,EVER USED PEAK FLOW METER R3
ASEVFL5,EVER USED PEAK FLOW METER R5
ASEVFL7,EVER USED PEAK FLOW METER R7
ASIANP2,IS PROVIDER ASIAN-R2
ASIANP4,IS PROVIDER ASIAN-R4
ASIANP6,IS PROVIDER ASIAN-R6
ASIANP8,IS PROVIDER ASIAN-R8
ASMRCN1,USED >3 ACUTE CANSTRS PRESCRIBED INH LAST 3 MOS R1
ASMRCN3,USED >3 ACUTE CN PRES INH LAST 3 MOS R3
ASMRCN5,USED >3 ACUTE CN PRES INH LAST 3 MOS R5
ASMRCN7,USED >3 ACUTE CN PRES INH LAST 3 MOS R7
ASPKFL1,HAVE PEAK FLOW METER AT HOME R1
ASPKFL3,HAVE PEAK FLOW METER AT HOME R3
ASPKFL5,HAVE PEAK FLOW METER AT HOME R5
ASPKFL7,HAVE PEAK FLOW METER AT HOME R7
ASPREV1,EVER USED PREV DAILY ASTHMA MEDS R1
ASPREV3,EVER USED PREV DAILY ASTHMA MEDS R3
ASPREV5,EVER USED PREV DAILY ASTHMA MEDS R5
ASPREV7,EVER USED PREV DAILY ASTHMA MEDS R7
ASSTIL1,DOES PERSON STILL HAVE ASTHMA R1
ASSTIL3,DOES PERSON STILL HAVE ASTHMA R3
ASSTIL5,DOES PERSON STILL HAVE ASTHMA R5
ASSTIL7,DOES PERSON STILL HAVE ASTHMA R7
