Variable,Description
T9SCLASS,SPRING 2016 SCIENCE TEACHER CLASS LINK ID
D2T_ID,SPRING 2011 SPECIAL ED TEACHER ID NUMBER
D4T_ID,SPRING 2012 SPECIAL ED TEACHER ID NUMBER
D6T_ID,SPRING 2013 SPECIAL ED TEACHER ID NUMBER
D7T_ID,SPRING 2014 SPECIAL ED TEACHER ID NUMBER
D8T_ID,SPRING 2015 SPECIAL ED TEACHER ID NUMBER
D9T_ID,SPRING 2016 SPECIAL ED TEACHER ID NUMBER
CC_ID,CHILD CARE PROVIDER IDENTIFICATION NUM
TWIN_ID,CHILDID FOR FOCAL CHILD'S TWIN
X3DEST,X3 MOVED TO FALL 2011 DESTINATION SCHL
X3FALLSMP,X3 FALL SUBSAMPLE PARTICIPANT
X4DEST,X4 MOVED TO SPRING 2012 DESTINATION SCHL
X5DEST,X5 MOVED TO FALL 2012 DESTINATION SCHL
X5FALLSMP,X5 FALL SUBSAMPLE PARTICIPANT
X6DEST,X6 MOVED TO SPRING 2013 DESTINATION SCHL
X7DEST,X7 MOVED TO SPRING 2014 DESTINATION SCHL
X8DEST,X8 MOVED TO SPRING 2015 DESTINATION SCHL
X9DEST,X9 MOVED TO SPRING 2016 DESTINATION SCHL
W1C0,W1 C1 FULL SAMP WGT
W1A0,W1 A1 FULL SAMP WGT
W1T0,W1 T1 FULL SAMP WGT
W1P0,W1 P1 FULL SAMP WGT
W2P0,W2 P2 FULL SAMP WGT
W12P0,W12 (P1)(P2) FULL SAMP WGT
W1_2P0,W12 (P1)_(P2) FULL SAMP WGT
W12T0,W12 (T1)(T2) FULL SAMP WGT
W12AC0,W12 (A2)(C1) FULL SAMP WGT
W1PZ0,W12 (P1)(Z2) FULL SAMP WGT
W12PZ0,W12 (P1)(P2)(Z2) FULL SAMP WGT
W2SCH0,W2 SCH FULL SAMP WGT
W3CF3P_30,W3 (C2)(C3)(P1_P2)(P3) FS WGT
W3CF3P3T0,W3 (C2)(C3)(P1)(P2)(P3)(T3) FS WGT
W4PF40,W4 (P1)(P2)(P3)(P4) FS WGT
W4CF4P_20,W4 (C1)(C2)(C3)(C4)(P1_P2) FS WGT
W4CF4P20,W4 (C1)(C2)(C3)(C4)(P1)(P2) FS WGT
W4CF4P40,W4 (C3)(C4)(P4) FS WGT
W4CF4P4T0,W4 (C3)(C4)(P4)(T4) FS WGT
W4C4P_20,W4 (C1)(C2)(C4)(P1_P2) FS WGT
W4C4P_40,W4 (C1)(C2)(C4)(P1_P2)(P4) FS WGT
W4C4P_2T0,W4 (C1)(C2)(C4)(P1_P2)(T4) FS WGT
W4C4P_4T0,W4 (C1)(C2)(C4)(P1_P2)(P4)(T4) FS WGT
W4CS4P_20,W4 (C2)(C4)(P1_P2) FS WGT
W4CS4P_40,W4 (C2)(C4)(P1_P2)(P4) FS WGT
W4CS4P_2T0,W4 (C2)(C4)(P1_P2)(T4) FS WGT
W4CS4P_4T0,W4 (C2)(C4)(P1_P2)(P4)(T4) FS WGT
W4C4P4TZ0,W4 (C1)(C2)(C4)(P1)(P4)(T4)(Z2) FS WGT
W2C_2P_2TZ0,W12 (C1_C2)(P1_P2)(T1_T2)(Z2) FS WGT
W4C_4P_4TZ0,W4 (C1_C2)(C4)(P1_P2)(P4)(T1_T2)(T4)(Z2) FS WGT
W6CF6P_2A0,W6 (C5)(C6)(P1_P2) FS WGT
W6C6P_60,W6 (C1)(C2)(C4)(C6)(P1_P2)(P6) FS WGT
W6C6P_20,W6 (C1)(C2)(C4)(C6)(P1_P2) FS WGT
W6C6P60,W6 (C1)(C2)(C4)(C6)(P1)(P2)(P4)(P6) FS WGT
W6CF6PF60,W6 (C1)(C2)(C3)(C4)(C5)(C6)(P1)(P2)(P3)(P4)(P5)(P6) FS WGT
W6CF6P_2T0,W6 (C1)(C2)(C3)(C4)(C5)(C6)(P1_P2)(T2)(T4)(T6) FS WGT
W6CF6P_2B0,W6 (C1)(C2)(C3)(C4)(C5)(C6)(P1_P2) FS WGT
W6CS6P_20,W6 (C2)(C4)(C6)(P1_P2) FS WGT
W6CS6P_2T0,W6 (C2)(C4)(C6)(P1_P2)(T6) FS WGT
W6CS6P_6A0,W6 (C2)(C4)(C6)(P1_P2)(P6) FS WGT
W6CS6P_6TA0,W6 (C2)(C4)(C6)(P1_P2)(P6)(T6) FS WGT
W6CS6P_6TB0,W6 (C2)(C4)(C6)(P1_P2)(P6)(T2)(T4)(T6) FS WGT
W6CS6P_6B0,W6 (C2)(C4)(C6)(P1_P2)(P4)(P6) FS WGT
W6C6P_6T0,W6 (C1)(C2)(C4)(C6)(P1_P2)(P4)(P6)(T1)(T2)(T4)(T6) FS WGT
W5CF5PF_50,W5 (C2)(C3)(C4)(C5)(P1_P2)(P3)(P5) FS WGT
W6C_6P_6TZ0,W6 (C1_C2)(C6)(P1_P2)(P6)(T1_T2)(T6)(Z2) FS WGT
W7C7P_20,W7 (C7)(P1_P2) FS WGT
W7C17P_20,W7 (C1C2C7)(P1_P2) FS WGT
W7C17P_7T70,W7 (C1C2C7)(P1_P2)(P7)(T7) FS WGT
W7C17P_70,W7 (C1C2C7)(P1_P2)(P4P6P7) FS WGT
W7C17P_2T270,W7 (C1C2C7)(P1_P2)(T2T4T6T7) FS WGT
W7C17P_7T27B0,W7 (C1C2C7)(P1_P2)(P4P6P7)(T2T4T6T7) FS WGT
W7C17P_7T27A0,W7 (C1C2C7)(P1_P2)(P7)(T2T4T6T7) FS WGT
W7C17P_7T170,W7 (C1C2C4C6C7)(P1_P2)(P4P6P7)(T1T2T4T6T7) FS WGT
W7C27P_7T70,W7 (C2C7)(P1_P2)(P7)(T7) FS WGT
W7C27P_7A0,W7 (C2C4C6C7)(P1_P2)(P7) FS WGT
W7C27P_2T70,W7 (C2C4C6C7)(P1_P2)(T7) FS WGT
W7C27P_7B0,W7 (C2C4C6C7)(P1_P2)(P4P6P7) FS WGT
W7C27P_2T270,W7 (C2C4C6C7)(P1_P2)(T2T4T6T7) FS WGT
W7C27P_7T270,W7 (C2C4C6C7)(P1_P2)(P4P6P7)(T2T4T6T7) FS WGT
W7CF7P_70,W7 (C1C2C3C4C5C6C7)(P1_P2)(P3P4P5P6P7) FS WGT
W7CF7P_2T170,W7 (C1C2C3C4C5C6C7)(P1_P2)(T1T2T3T4T5T6T7) FS WGT
W8C8P_20,W8 (C8)(P1_P2) FS WGT
W8C18P_20,W8 (C1C2C8)(P1_P2) FS WGT
W8C18P_80,W8 (C1C2C8)(P1_P2)(P4P6P7P8) FS WGT
W8C28P_8A0,W8 (C2C4C6C7C8)(P1_P2)(P8) FS WGT
W8C28P_8B0,W8 (C2C4C6C7C8)(P1_P2)(P4P6P7P8) FS WGT
W8CF8P_80,W8 (C1C2C3C4C5C6C7C8)(P1_P2)(P3P4P5P6P7P8) FS WGT
W8C18P_2T280,W8 (C1C2C8)(P1_P2)(T2T4T6T7T8) FS WGT
W8C18P_8T28A0,W8 (C1C2C8)(P1_P2)(P8)(T2T4T6T7T8) FS WGT
W8C18P_8T28B0,W8 (C1C2C8)(P1_P2)(P4P6P7P8)(T2T4T6T7T8) FS WGT
W8C18P_8T180,W8 (C1C2C4C6C7C8)(P1_P2)(P4P6P7P8)(T1T2T4T6T7T8) FS WGT
W8C28P_2T280,W8 (C2C4C6C7C8)(P1_P2)(T2T4T6T7T8) FS WGT
W8CF8P_2T180,W8 (C1C2C3C4C5C6C7C8)(P1_P2)(T1T2T3T4T5T6T7T8) FS WGT
W8C18P_8T80,W8 (C1C2C8)(P1_P2)(P8)(T8) FS WGT
W8C18P_8T8Z0,W8 (C1C2C8)(P1_P2)(P8)(T8Z) FS WGT
W8C18P_8T28C0,W8 (C1C2C8)(P1_P2)(P8)(T2T8) FS WGT
W8C18P_8T28Z0,W8 (C1C2C8)(P1_P2)(P8)(T2T8Z) FS WGT
W8C28P_8T80,W8 (C2C8)(P1_P2)(P8)(T8) FS WGT
W8C28P_8T8Z0,W8 (C2C8)(P1_P2)(P8)(T8Z) FS WGT
W8C28P_2T80,W8 (C2C4C6C7C8)(P1_P2)(T8) FS WGT
W8C28P_2T8Z0,W8 (C2C4C6C7C8)(P1_P2)(T8Z) FS WGT
W8C28P_8T280,W8 (C2C4C6C7C8)(P1_P2)(P4P6P7P8)(T2T4T6T7T8) FS WGT
W8C28P_8T28Z0,W8 (C2C4C6C7C8)(P1_P2)(P4P6P7P8)(T2T4T6T7T8Z) FS WGT
W9C9P_20,W9 (C9)(P1_P2) FS WGT
W9C19P_20,W9 (C1C2C9)(P1_P2) FS WGT
W9C19P_90,W9 (C1C2C9)(P1_P2)(P4P6P7P8P9) FS WGT
W9C29P_9A0,W9 (C2C4C6C7C8C9)(P1_P2)(P9) FS WGT
W9C29P_9B0,W9 (C2C4C6C7C8C9)(P1_P2)(P4P6P7P8P9) FS WGT
W9C19P_2T290,W9 (C1C2C9)(P1_P2)(T2T4T6T7T8T9) FS WGT
W9C19P_9T29A0,W9 (C1C2C9)(P1_P2)(P9)(T2T4T6T7T8T9) FS WGT
W9C19P_9T29B0,W9 (C1C2C9)(P1_P2)(P4P6P7P8P9)(T2T4T6T7T8T9) FS WGT
W9C29P_2T290,W9 (C2C4C6C7C8C9)(P1_P2)(T2T4T6T7T8T9) FS WGT
W9C19P_9T90,W9 (C1C2C9)(P1_P2)(P9)(T9) FS WGT
W9C19P_9T9Z0,W9 (C1C2C9)(P1_P2)(P9)(T9Z) FS WGT
W9C19P_9T29C0,W9 (C1C2C9)(P1_P2)(P9)(T2T9) FS WGT
W9C19P_9T29Z0,W9 (C1C2C9)(P1_P2)(P9)(T2T9Z) FS WGT
W9C29P_9T90,W9 (C2C9)(P1_P2)(P9)(T9) FS WGT
W9C29P_9T9Z0,W9 (C2C9)(P1_P2)(P9)(T9Z) FS WGT
W9C29P_2T90,W9 (C2C4C6C7C8C9)(P1_P2)(T9) FS WGT
W9C29P_2T9Z0,W9 (C2C4C6C7C8C9)(P1_P2)(T9Z) FS WGT
W9C29P_9T290,W9 (C2C4C6C7C8C9)(P1_P2)(P4P6P7P8P9)(T2T4T6T7T8T9) FS WGT
W9C29P_9T29Z0,W9 (C2C4C6C7C8C9)(P1_P2)(P4P6P7P8P9)(T2T4T6T7T8ZT9Z) FS WGT
W9C790,W9 (C7C8C9) FS WGT
W9C79P_9T790,W9 (C7C8C9)(P1_P2)(P7P8P9)(T7T8T9) FS WGT
X1RDGFLG,X1 READING TEST SCORE PRESENT
X2RDGFLG,X2 READING TEST SCORE PRESENT
X3RDGFLG,X3 READING TEST SCORE PRESENT
X4RDGFLG,X4 READING TEST SCORE PRESENT
X5RDGFLG,X5 READING TEST SCORE PRESENT
X6RDGFLG,X6 READING TEST SCORE PRESENT
X7RDGFLG,X7 READING TEST SCORE PRESENT
X8RDGFLG,X8 READING TEST SCORE PRESENT
X9RDGFLG,X9 READING TEST SCORE PRESENT
X1RTOFLG,X1 READING THETA IS AN OUTLIER
X2RTOFLG,X2 READING THETA IS AN OUTLIER
X3RTOFLG,X3 READING THETA IS AN OUTLIER
X4RTOFLG,X4 READING THETA IS AN OUTLIER
X5RTOFLG,X5 READING THETA IS AN OUTLIER
X6RTOFLG,X6 READING THETA IS AN OUTLIER
X7RTOFLG,X7 READING THETA IS AN OUTLIER
X8RTOFLG,X8 READING THETA IS AN OUTLIER
X9RTOFLG,X9 READING THETA IS AN OUTLIER
X1RTHETK5,X1 READING THETA-K5 DATA FILE
X2RTHETK5,X2 READING THETA-K5 DATA FILE
X3RTHETK5,X3 READING THETA-K5 DATA FILE
X4RTHETK5,X4 READING THETA-K5 DATA FILE
X5RTHETK5,X5 READING THETA-K5 DATA FILE
X6RTHETK5,X6 READING THETA-K5 DATA FILE
X7RTHETK5,X7 READING THETA-K5 DATA FILE
X8RTHETK5,X8 READING THETA-K5 DATA FILE
X9RTHETK5,X9 READING THETA-K5 DATA FILE
X1RSETHK5,X1 READING STD ERR OF THETA-K5 DATA FILE
X2RSETHK5,X2 READING STD ERR OF THETA-K5 DATA FILE
X3RSETHK5,X3 READING STD ERR OF THETA-K5 DATA FILE
X4RSETHK5,X4 READING STD ERR OF THETA-K5 DATA FILE
X5RSETHK5,X5 READING STD ERR OF THETA-K5 DATA FILE
X6RSETHK5,X6 READING STD ERR OF THETA-K5 DATA FILE
X7RSETHK5,X7 READING STD ERR OF THETA-K5 DATA FILE
X8RSETHK5,X8 READING STD ERR OF THETA-K5 DATA FILE
X9RSETHK5,X9 READING STD ERR OF THETA-K5 DATA FILE
X1RSCALK5,X1 READING IRT SCALE SCORE-K5 DATA FILE
X2RSCALK5,X2 READING IRT SCALE SCORE-K5 DATA FILE
X3RSCALK5,X3 READING IRT SCALE SCORE-K5 DATA FILE
X4RSCALK5,X4 READING IRT SCALE SCORE-K5 DATA FILE
X5RSCALK5,X5 READING IRT SCALE SCORE-K5 DATA FILE
X6RSCALK5,X6 READING IRT SCALE SCORE-K5 DATA FILE
X7RSCALK5,X7 READING IRT SCALE SCORE-K5 DATA FILE
X8RSCALK5,X8 READING IRT SCALE SCORE-K5 DATA FILE
X9RSCALK5,X9 READING IRT SCALE SCORE-K5 DATA FILE
X1MTHFLG,X1 MATH TEST SCORE PRESENT
X2MTHFLG,X2 MATH TEST SCORE PRESENT
X3MTHFLG,X3 MATH TEST SCORE PRESENT
X4MTHFLG,X4 MATH TEST SCORE PRESENT
X5MTHFLG,X5 MATH TEST SCORE PRESENT
X6MTHFLG,X6 MATH TEST SCORE PRESENT
X7MTHFLG,X7 MATH TEST SCORE PRESENT
X8MTHFLG,X8 MATH TEST SCORE PRESENT
X9MTHFLG,X9 MATH TEST SCORE PRESENT
X1MTOFLG,X1 MATH THETA IS AN OUTLIER
X2MTOFLG,X2 MATH THETA IS AN OUTLIER
X3MTOFLG,X3 MATH THETA IS AN OUTLIER
X4MTOFLG,X4 MATH THETA IS AN OUTLIER
X5MTOFLG,X5 MATH THETA IS AN OUTLIER
X6MTOFLG,X6 MATH THETA IS AN OUTLIER
X7MTOFLG,X7 MATH THETA IS AN OUTLIER
X8MTOFLG,X8 MATH THETA IS AN OUTLIER
X9MTOFLG,X9 MATH THETA IS AN OUTLIER
X1MTHETK5,X1 MATH THETA-K5 DATA FILE
X2MTHETK5,X2 MATH THETA-K5 DATA FILE
X3MTHETK5,X3 MATH THETA-K5 DATA FILE
X4MTHETK5,X4 MATH THETA-K5 DATA FILE
X5MTHETK5,X5 MATH THETA-K5 DATA FILE
X6MTHETK5,X6 MATH THETA-K5 DATA FILE
X7MTHETK5,X7 MATH THETA-K5 DATA FILE
X8MTHETK5,X8 MATH THETA-K5 DATA FILE
X9MTHETK5,X9 MATH THETA-K5DATA FILE
X1MSETHK5,X1 MATH STD ERR OF THETA-K5 DATA FILE
X2MSETHK5,X2 MATH STD ERR OF THETA-K5 DATA FILE
X3MSETHK5,X3 MATH STD ERR OF THETA-K5 DATA FILE
X4MSETHK5,X4 MATH STD ERR OF THETA-K5 DATA FILE
X5MSETHK5,X5 MATH STD ERR OF THETA-K5 DATA FILE
X6MSETHK5,X6 MATH STD ERR OF THETA-K5 DATA FILE
X7MSETHK5,X7 MATH STD ERR OF THETA-K5 DATA FILE
X8MSETHK5,X8 MATH STD ERR OF THETA-K5 DATA FILE
X9MSETHK5,X9 MATH STD ERR OF THETA-K5 DATA FILE
X1MSCALK5,X1 MATH IRT SCALE SCORE-K5 DATA FILE
X2MSCALK5,X2 MATH IRT SCALE SCORE-K5 DATA FILE
X3MSCALK5,X3 MATH IRT SCALE SCORE-K5 DATA FILE
X4MSCALK5,X4 MATH IRT SCALE SCORE-K5 DATA FILE
X5MSCALK5,X5 MATH IRT SCALE SCORE-K5 DATA FILE
X6MSCALK5,X6 MATH IRT SCALE SCORE-K5 DATA FILE
X7MSCALK5,X7 MATH IRT SCALE SCORE-K5 DATA FILE
X8MSCALK5,X8 MATH IRT SCALE SCORE-K5 DATA FILE
X9MSCALK5,X9 MATH IRT SCALE SCORE-K5 DATA FILE
X2SCIFLG,X2 SCIENCE TEST SCORE PRESENT
X3SCIFLG,X3 SCIENCE TEST SCORE PRESENT
X4SCIFLG,X4 SCIENCE TEST SCORE PRESENT
X5SCIFLG,X5 SCIENCE TEST SCORE PRESENT
X6SCIFLG,X6 SCIENCE TEST SCORE PRESENT
X7SCIFLG,X7 SCIENCE TEST SCORE PRESENT
X8SCIFLG,X8 SCIENCE TEST SCORE PRESENT
X9SCIFLG,X9 SCIENCE TEST SCORE PRESENT
X2STOFLG,X2 SCIENCE THETA IS AN OUTLIER
X3STOFLG,X3 SCIENCE THETA IS AN OUTLIER
X4STOFLG,X4 SCIENCE THETA IS AN OUTLIER
X5STOFLG,X5 SCIENCE THETA IS AN OUTLIER
X6STOFLG,X6 SCIENCE THETA IS AN OUTLIER
X7STOFLG,X7 SCIENCE THETA IS AN OUTLIER
X8STOFLG,X8 SCIENCE THETA IS AN OUTLIER
X9STOFLG,X9 SCIENCE THETA IS AN OUTLIER
X2STHETK5,X2 SCIENCE THETA-K5 DATA FILE
X3STHETK5,X3 SCIENCE THETA-K5 DATA FILE
X4STHETK5,X4 SCIENCE THETA-K5 DATA FILE
X5STHETK5,X5 SCIENCE THETA-K5 DATA FILE
X6STHETK5,X6 SCIENCE THETA-K5 DATA FILE
X7STHETK5,X7 SCIENCE THETA-K5 DATA FILE
X8STHETK5,X8 SCIENCE THETA-K5 DATA FILE
X9STHETK5,X9 SCIENCE THETA-K5 DATA FILE
X2SSETHK5,X2 SCIENCE STD ERR OF THETA-K5 DATA FILE
X3SSETHK5,X3 SCIENCE STD ERR OF THETA-K5 DATA FILE
X4SSETHK5,X4 SCIENCE STD ERR OF THETA-K5 DATA FILE
X5SSETHK5,X5 SCIENCE STD ERR OF THETA-K5 DATA FILE
X6SSETHK5,X6 SCIENCE STD ERR OF THETA-K5 DATA FILE
X7SSETHK5,X7 SCIENCE STD ERR OF THETA-K5 DATA FILE
X8SSETHK5,X8 SCIENCE STD ERR OF THETA-K5 DATA FILE
X9SSETHK5,X9 SCIENCE STD ERR OF THETA-K5 DATA FILE
X2SSCALK5,X2 SCIENCE IRT SCALE SCORE-K5 DATA FILE
X3SSCALK5,X3 SCIENCE IRT SCALE SCORE-K5 DATA FILE
X4SSCALK5,X4 SCIENCE IRT SCALE SCORE-K5 DATA FILE
X5SSCALK5,X5 SCIENCE IRT SCALE SCORE-K5 DATA FILE
X6SSCALK5,X6 SCIENCE IRT SCALE SCORE-K5 DATA FILE
X7SSCALK5,X7 SCIENCE IRT SCALE SCORE-K5 DATA FILE
X8SSCALK5,X8 SCIENCE IRT SCALE SCORE-K5 DATA FILE
X9SSCALK5,X9 SCIENCE IRT SCALE SCORE-K5 DATA FILE
X1SERSTHK1,X1 SERS THETA-K1
X2SERSTHK1,X2 SERS THETA-K1
X3SERSTHK1,X3 SERS THETA-K1
X4SERSTHK1,X4 SERS THETA-K1
X1SERSSEK1,X1 SERS STD ERR OF THETA-K1
X2SERSSEK1,X2 SERS STD ERR OF THETA-K1
X3SERSSEK1,X3 SERS STD ERR OF THETA-K1
X4SERSSEK1,X4 SERS STD ERR OF THETA-K1
X1SERSSCK1,X1 SERS IRT SCALE SCORE-K1
X2SERSSCK1,X2 SERS IRT SCALE SCORE-K1
X3SERSSCK1,X3 SERS IRT SCALE SCORE-K1
X4SERSSCK1,X4 SERS IRT SCALE SCORE-K1
X1PLSS,X1 PRELAS SIMON SAYS SCORE
X2PLSS,X2 PRELAS SIMON SAYS SCORE
X3PLSS,X3 PRELAS SIMON SAYS SCORE
X4PLSS,X4 PRELAS SIMON SAYS SCORE
X1PLART,X1 PRELAS ART SHOW SCORE
X2PLART,X2 PRELAS ART SHOW SCORE
X3PLART,X3 PRELAS ART SHOW SCORE
X4PLART,X4 PRELAS ART SHOW SCORE
X1PLTOT,X1 PRELAS TOTAL SCORE
X2PLTOT,X2 PRELAS TOTAL SCORE
X3PLTOT,X3 PRELAS TOTAL SCORE
X4PLTOT,X4 PRELAS TOTAL SCORE
X1EBRSTOT,X1 EBRS TOTAL NUMBER RIGHT
X2EBRSTOT,X2 EBRS TOTAL NUMBER RIGHT
X3EBRSTOT,X3 EBRS TOTAL NUMBER RIGHT
X4EBRSTOT,X4 EBRS TOTAL NUMBER RIGHT
X1EBRSCM,X1 EBRS NUMBER RIGHT COMMON ITEMS
X2EBRSCM,X2 EBRS NUMBER RIGHT COMMON ITEMS
X3EBRSCM,X3 EBRS NUMBER RIGHT COMMON ITEMS
X4EBRSCM,X4 EBRS NUMBER RIGHT COMMON ITEMS
X1SERSCM,X1 SERS NUMBER RIGHT COMMON ITEMS
X2SERSCM,X2 SERS NUMBER RIGHT COMMON ITEMS
X3SERSCM,X3 SERS NUMBER RIGHT COMMON ITEMS
X4SERSCM,X4 SERS NUMBER RIGHT COMMON ITEMS
X1NRFLG,X1 NUMBERS REVERSED SCORES PRESENT
X2NRFLG,X2 NUMBERS REVERSED SCORES PRESENT
X3NRFLG,X3 NUMBERS REVERSED SCORES PRESENT
X4NRFLG,X4 NUMBERS REVERSED SCORES PRESENT
X5NRFLG,X5 NUMBERS REVERSED SCORES PRESENT
X6NRFLG,X6 NUMBERS REVERSED SCORES PRESENT
X7NRFLG,X7 NUMBERS REVERSED SCORES PRESENT
X8NRFLG,X8 NUMBERS REVERSED SCORES PRESENT
X9NRFLG,X9 NUMBERS REVERSED SCORES PRESENT
X1NRGEST,X1 NUMBERS REVERSED ESTIMTD GRADE FRACTN
X2NRGEST,X2 NUMBERS REVERSED ESTIMTD GRADE FRACTN
X3NRGEST,X3 NUMBERS REVERSED ESTIMTD GRADE FRACTN
X4NRGEST,X4 NUMBERS REVERSED ESTIMTD GRADE FRACTN
X5NRGEST,X5 NUMBERS REVERSED ESTIMTD GRADE FRACTN
X6NRGEST,X6 NUMBERS REVERSED ESTIMTD GRADE FRACTN
X7NRGEST,X7 NUMBERS REVERSED ESTIMTD GRADE FRACTN
X8NRGEST,X8 NUMBERS REVERSED ESTIMTD GRADE FRACTN
X9NRGEST,X9 NUMBERS REVERSED ESTIMTD GRADE FRACTN
X1NRWABL,X1 NUMBERS REVERSED W-ABILITY SCORE
X2NRWABL,X2 NUMBERS REVERSED W-ABILITY SCORE
X3NRWABL,X3 NUMBERS REVERSED W-ABILITY SCORE
X4NRWABL,X4 NUMBERS REVERSED W-ABILITY SCORE
X5NRWABL,X5 NUMBERS REVERSED W-ABILITY SCORE
X6NRWABL,X6 NUMBERS REVERSED W-ABILITY SCORE
X7NRWABL,X7 NUMBERS REVERSED W-ABILITY SCORE
X8NRWABL,X8 NUMBERS REVERSED W-ABILITY SCORE
X9NRWABL,X9 NUMBERS REVERSED W-ABILITY SCORE
X1NRSSCR,X1 NUMBERS REVERSED AGE STANDARD SCORE
X2NRSSCR,X2 NUMBERS REVERSED AGE STANDARD SCORE
X3NRSSCR,X3 NUMBERS REVERSED AGE STANDARD SCORE
X4NRSSCR,X4 NUMBERS REVERSED AGE STANDARD SCORE
X5NRSSCR,X5 NUMBERS REVERSED AGE STANDARD SCORE
X6NRSSCR,X6 NUMBERS REVERSED AGE STANDARD SCORE
X7NRSSCR,X7 NUMBERS REVERSED AGE STANDARD SCORE
X8NRSSCR,X8 NUMBERS REVERSED AGE STANDARD SCORE
X9NRSSCR,X9 NUMBERS REVERSED AGE STANDARD SCORE
X1NRPERC,X1 NUMBERS REVERSED AGE PERCENTILE
X2NRPERC,X2 NUMBERS REVERSED AGE PERCENTILE
X3NRPERC,X3 NUMBERS REVERSED AGE PERCENTILE
X4NRPERC,X4 NUMBERS REVERSED AGE PERCENTILE
X5NRPERC,X5 NUMBERS REVERSED AGE PERCENTILE
X6NRPERC,X6 NUMBERS REVERSED AGE PERCENTILE
X7NRPERC,X7 NUMBERS REVERSED AGE PERCENTILE
X8NRPERC,X8 NUMBERS REVERSED AGE PERCENTILE
X9NRPERC,X9 NUMBERS REVERSED AGE PERCENTILE
X1NRSSGR,X1 NUMBERS REVERSED GRADE STANDARD SCORE
X2NRSSGR,X2 NUMBERS REVERSED GRADE STANDARD SCORE
X3NRSSGR,X3 NUMBERS REVERSED GRADE STANDARD SCORE
X4NRSSGR,X4 NUMBERS REVERSED GRADE STANDARD SCORE
X5NRSSGR,X5 NUMBERS REVERSED GRADE STANDARD SCORE
X6NRSSGR,X6 NUMBERS REVERSED GRADE STANDARD SCORE
X7NRSSGR,X7 NUMBERS REVERSED GRADE STANDARD SCORE
X8NRSSGR,X8 NUMBERS REVERSED GRADE STANDARD SCORE
X9NRSSGR,X9 NUMBERS REVERSED GRADE STANDARD SCORE
X1NRPEGR,X1 NUMBERS REVERSED GRADE PERCENTILE
X2NRPEGR,X2 NUMBERS REVERSED GRADE PERCENTILE
X3NRPEGR,X3 NUMBERS REVERSED GRADE PERCENTILE
X4NRPEGR,X4 NUMBERS REVERSED GRADE PERCENTILE
X5NRPEGR,X5 NUMBERS REVERSED GRADE PERCENTILE
X6NRPEGR,X6 NUMBERS REVERSED GRADE PERCENTILE
X7NRPEGR,X7 NUMBERS REVERSED GRADE PERCENTILE
X8NRPEGR,X8 NUMBERS REVERSED GRADE PERCENTILE
X9NRPEGR,X9 NUMBERS REVERSED GRADE PERCENTILE
X1DCCSFLG,X1 CARD SORT SCORES PRESENT
X2DCCSFLG,X2 CARD SORT SCORES PRESENT
X3DCCSFLG,X3 CARD SORT SCORES PRESENT
X4DCCSFLG,X4 CARD SORT SCORES PRESENT
X5DCCSFLG,X5 CARD SORT SCORES PRESENT
X6DCCSFLG,X6 CARD SORT SCORES PRESENT
X7DCCSFLG,X7 CARD SORT SCORES PRESENT
X8DCCSFLG,X8 CARD SORT SCORES PRESENT
