Variable,Description
CLEFLU,"EVER INHALED CORRECTION FLUID, DEGREASER, ETC."
GAS,EVER INHALED GASOLINE OR LIGHTER FLUID
GLUE,"EVER INHALED GLUE, SHOE POLISH, OR TOLUENE"
ETHER,"EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC"
SOLVENT,"EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS"
LGAS,"EVER INHALED LIGHTER GASES (BUTANE, PROPANE)"
NITOXID,"EVER INHALED NITROUS OXIDE OR ""WHIPPITS"""
SPPAINT,EVER INHALED SPRAY PAINTS
AEROS,EVER INHALED OTHER AEROSOL SPRAYS
INHNOLST,EVER USED OTHER INHALANTS
INHNEWA,OTHER INHALANT - SPECIFY 1
INHNEWB,OTHER INHALANT - SPECIFY 2
INHNEWC,OTHER INHALANT - SPECIFY 3
INHNEWD,OTHER INHALANT - SPECIFY 4
INHNEWE,OTHER INHALANT - SPECIFY 5
DARVTYLC,"EVER USED DARVOCET, DARVON, OR TYLENOL W/ CODEINE"
PERCTYLX,"EVER USED PERCOCET, PERCODAN, OR TYLOX"
VICOLOR,"EVER USED VICODIN, LORTAB, OR LORCET"
ANLCARD,EVER USED PAIN RELIEVER BELOW RED LINE ON CARD A
CODEINE,EVER USED CODEINE NONMEDICALLY
DEMEROL,EVER USED DEMEROL NONMEDICALLY
DILAUD,EVER USED DILAUDID NONMEDICALLY
FIORICET,EVER USED FIORICET NONMEDICALLY
FIORINAL,EVER USED FIORINAL NONMEDICALLY
HYDROCOD,EVER USED HYDROCODONE NONMEDICALLY
METHDON,EVER USED METHADONE NONMEDICALLY
MORPHINE,EVER USED MORPHINE NONMEDICALLY
OXYCONTN,EVER USED OXYCONTIN NONMEDICALLY
PHENCOD,EVER USED PHENAPHEN WITH CODEINE NONMEDICALLY
PROPOXY,EVER USED PROPOXYPHENE NONMEDICALLY
SK65A,EVER USED SK65 NONMEDICALLY
STADOL,EVER USED STADOL NONMEDICALLY
TALACEN,EVER USED TALACEN NONMEDICALLY
TALWIN,EVER USED TALWIN NONMEDICALLY
TALWINNX,EVER USED TALWINNX NONMEDICALLY
TRAMADOL,EVER USED TRAMADOL NONMEDICALLY
ULTRAM,EVER USED ULTRAM NONMEDICALLY
ANLNOLST,EVER USED ANY OTHER PAIN RELIEVER NONMEDICALLY
ANALNEWA,OTHER PAIN RELIEVER - SPECIFY 1
ANALNEWB,OTHER PAIN RELIEVER - SPECIFY 2
ANALNEWC,OTHER PAIN RELIEVER - SPECIFY 3
ANALNEWD,OTHER PAIN RELIEVER - SPECIFY 4
ANALNEWE,OTHER PAIN RELIEVER - SPECIFY 5
KLONOPIN,EVER USED KLONOPIN OR CLONAZEPAM
XNAXATVN,"EVER USED XANAX, ALPRAZOLAM, ATIVAN, OR LORAZEPAM"
VALMDIAZ,EVER USED VALIUM OR DIAZEPAM
TRNCARD,EVER USED ANY TRANQ BELOW RED LINE ON CARD B
ATARAX,EVER USED ATARAX NONMEDICALLY
BUSPAR,EVER USED BUSPAR NONMEDICALLY
EQUANIL,EVER USED EQUANIL NONMEDICALLY
FLEXERIL,EVER USED FLEXERIL NONMEDICALLY
LIBRIUM,EVER USED LIBRIUM NONMEDICALLY
LIMBTROL,EVER USED LIMBITROL NONMEDICALLY
MEPROB,EVER USED MEPROBAMATE NONMEDICALLY
MILTOWN,EVER USED MILTOWN NONMEDICALLY
ROHYPNOL,EVER USED ROHYPNOL NONMEDICALLY
SERAX,EVER USED SERAX NONMEDICALLY
SOMA,EVER USED SOMA NONMEDICALLY
TRANXENE,EVER USED TRANXENE NONMEDICALLY
VISTAR,EVER USED VISTARIL NONMEDICALLY
TRNOLST,EVER USED ANY OTHER TRANQUILIZER NONMEDICALLY
TRNEWA,OTHER TRANQUILIZER - SPECIFY 1
TRNEWB,OTHER TRANQUILIZER - SPECIFY 2
TRNEWC,OTHER TRANQUILIZER - SPECIFY 3
TRNEWD,OTHER TRANQUILIZER - SPECIFY 4
TRNEWE,OTHER TRANQUILIZER - SPECIFY 5
METHDES,"EVER USED METHAMPHETAMINE, DESOXYN, OR METHEDRINE"
DIETPILS,"EVER USED DIET PILLS SUCH AS AMPHETAMINES, ETC"
RITMPHEN,EVER USED RITALIN OR METHYLPHENIDATE
STMCARD,EVER USED ANY STIMULANT BELOW RED LINE ON CARD C
CYLERT,EVER USED CYLERT NONMEDICALLY
DEXED,EVER USED DEXEDRINE NONMEDICALLY
DETAMP,EVER USED DEXTROAMPHETAMINE NONMEDICALLY
DIDREX,EVER USED DIDREX NONMEDICALLY
ESKAT,EVER USED ESKATROL NONMEDICALLY
IONAMIN,EVER USED IONAMIN NONMEDICALLY
MAZANOR,EVER USED MAZANOR NONMEDICALLY
OBLA,EVER USED OBEDRIN-LA NONMEDICALLY
PLEGINE,EVER USED PLEGINE NONMEDICALLY
PRELUDIN,EVER USED PRELUDIN NONMEDICALLY
SANOREX,EVER USED SANOREX NONMEDICALLY
TENUATE,EVER USED TENUATE NONMEDICALLY
STMNOLST,EVER USED ANY OTHER STIMULANT NONMEDICALLY
STIMNEWA,OTHER STIMULANT - SPECIFY 1
STIMNEWB,OTHER STIMULANT - SPECIFY 2
STIMNEWC,OTHER STIMULANT - SPECIFY 3
STIMNEWD,OTHER STIMULANT - SPECIFY 4
STIMNEWE,OTHER STIMULANT - SPECIFY 5
METHAQ,"EVER USED METHAQUALONE, SOPOR, OR QUAALUDE"
NEMBBARB,"EVER USED BARBITURATES SUCH AS NEMBUTAL, ETC"
RESTTMAZ,EVER USED RESTORIL OR TEMAZEPAM
SEDCARD,EVER USED ANY SEDATIVES BELOW RED LINE ON CARD D
AMYTAL,EVER USED AMYTAL NONMEDICALLY
BUTISOL,EVER USED BUTISOL NONMEDICALLY
CHHYD,EVER USED CHLORAL HYDRATE NONMEDICALLY
DALMANE,EVER USED DALMANE NONMEDICALLY
HALCION,EVER USED HALCION NONMEDICALLY
PHENOBAR,EVER USED PHENOBARBITAL NONMEDICALLY
PLACIDYL,EVER USED PLACIDYL NONMEDICALLY
TUINAL,EVER USED TUINAL NONMEDICALLY
SEDNOLST,EVER USED ANY OTHER SEDATIVE NONMEDICALLY
SEDNEWA,OTHER SEDATIVES - SPECIFY 1
SEDNEWB,OTHER SEDATIVES - SPECIFY 2
SEDNEWC,OTHER SEDATIVES - SPECIFY 3
SEDNEWD,OTHER SEDATIVES - SPECIFY 4
SEDNEWE,OTHER SEDATIVES - SPECIFY 5
ALCEVER,EVER HAD DRINK OF ALCOHOLIC BEVERAGE
CHEWEVER,EVER USED CHEW EVEN ONCE
CIGAREVR,EVER SMOKED PART OR ALL OF CIGAR
CIGEVER,EVER SMOKED A CIGARETTE
COCEVER,EVER USED COCAINE
CRKEVER,EVER USED CRACK
HEREVER,EVER USED HEROIN
MJEVER,EVER USED MARIJUANA/HASHISH
PIPEVER,EVER SMOKED PIPE TOBACCO
SNFEVER,EVER USED SNUFF
WRKHAVJB,DID YOU HAVE A JOB OR BUSINESS
BIDIEVER,EVER SMOKED A BIDI
BIDIREC,TIME SINCE LAST SMOKED BIDI
BIDI30US,HOW MANY DAYS SMOKED BIDI PAST 30 DAYS
CLOVEVER,EVER SMOKED A CLOVE CIGARETTE
CLOVREC,TIME SINCE LAST SMOKED CLOVE CIGARETTE
CLOV30US,HOW MANY DAYS SMOKE CLOVE CIGARETTE PAST 30 DAYS
DOMOSTYR,WHAT WERE YOU DOING MOST OF PAST 12 MOS
PBLMWORK,PHYS/MENT/EMOT PROB KEPT FROM WORK PAST 12 MOS
LIMITWRK,PHYS/MENT/EMOT PROB LIMITED WORK IN PAST 12 MOS
TYPEPBLM,"WAS PROB THAT AFFECTED WORK PHYS, MENT, OR BOTH"
RSKPKCIG,RISK SMOKING 1 OR MORE PACKS CIGARETTES PER DAY
RSKMJOCC,RISK SMOKING MARIJUANA ONCE A MONTH
RSKMJREG,RISK SMOKING MARIJUANA ONCE OR TWICE A WEEK
RKTRYLSD,RISK TRYING LSD ONCE OR TWICE
RKLSDREG,RISK USING LSD ONCE OR TWICE A WEEK
RKTRYHER,RISK TRYING HEROIN ONCE OR TWICE
RKHERREG,RISK USING HEROIN ONCE OR TWICE A WEEK
RKCOCOCC,RISK USING COCAINE ONCE A MONTH
RKCOCREG,RISK USING COCAINE ONCE OR TWICE A WEEK
RK5ALDLY,RISK HAVING 4 OR 5 DRINKS NEARLY EVERY DAY
RK5ALWK,RISK HAVING 5 OR MORE DRINKS ONCE OR TWICE A WEEK
RSKDIFMJ,HOW DIFFICULT TO GET MARIJUANA
RKDIFLSD,HOW DIFFICULT TO GET LSD
RKDIFCOC,HOW DIFFICULT TO GET COCAINE
RKDIFCRK,"HOW DIFFICULT TO GET ""CRACK"""
RKDIFHER,HOW DIFFICULT TO GET HEROIN
RSKSELL,APPROACHED BY SOMEONE SELLING ILL DRUG PST 30 DYS
RKFQDNGR,GET A REAL KICK OUT OF DOING DANGEROUS THINGS
RKFQRSKY,LIKE TO TEST YOURSELF BY DOING RISKY THINGS
RKFQPBLT,WEAR A SEATBELT WHEN RIDE FRONT PASS SEAT OF CAR
RKFQDBLT,WEAR A SEATBELT WHEN YOU DRIVE A CAR
YEATNDYR,ATTENDED ANY TYPE OF SCHOOL PAST 12 MONTHS
YEHMSLYR,HOME SCHOOLED AT ANY TIME DURING THE PAST 12 MOS
CIGTRY,AGE WHEN FIRST SMOKED A CIGARETTE
CIG30USE,HOW MANY DAYS SMOKED CIG IN PAST 30 DAYS
CG30EST,BEST EST. # DAYS SMOKED CIG PAST 30 DAYS
CIGDLYMO,EVER SMOKED CIG EVERY DAY FOR 30 DAYS
CHEWMFU,MONTH OF FIRST CHEWING TOBACCO USE - RECODE
CHW30USE,HOW MANY DAYS USED CHEW IN PAST 30 DAYS
CH30EST,PAST 30 DAY ESTIMATE OF CHEWING TOBACCO
SNUFTRY,AGE WHEN FIRST USED SNUFF
SNF30USE,HOW MANY DAYS USED SNUFF PAST 30 DAYS
SN30EST,BEST EST. HOW MANY DAYS USED SNUFF PST 30 DAYS
SNUFMFU,MONTH OF FIRST SNUFF USE - RECODE
SNFREC,TIME SINCE LAST USED SNUFF
SLTREC,TIME SINCE LAST USED ANY SMOKLESS TOB - RECODE
CIGARTRY,AGE WHEN FIRST SMOKED CIGAR
CGR30USE,HOW MANY DAYS SMOKED CIGAR IN PAST 30 DAYS
CI30EST,BEST EST. # DAYS SMOKED CIGAR PAST 30 DAYS
PIPE30DY,HAVE YOU SMOKED PIPE TOBACCO IN PAST 30 DAYS
CIGMFU,MONTH OF FIRST CIGARETTE USE - RECODE
CIGARMFU,MONTH OF FIRST CIGAR USE - RECODE
CIGDLMFU,MONTH OF FIRST CIGARETTE USE EVERY DAY - RECODE
CIGAGE,AGE WHEN FIRST STARTED SMOKING CIGARETTES EVERYDAY
CIGYFU,YEAR OF FIRST CIGARETTE USE - RECODE
CIGDLYFU,YEAR OF FIRST CIGARETTE USE EVERY DAY - RECODE
CHEWYFU,YEAR OF FIRST CHEWING TOBACCO USE - RECODE
SNUFYFU,YEAR OF FIRST SNUFF USE - RECODE
CIGARYFU,YEAR OF FIRST CIGAR USE - RECODE
CHEWTRY,AGE WHEN FIRST USED CHEW
CIGREC,TIME SINCE LAST SMOKED CIGARETTES
CHEWREC,TIME SINCE LAST USED CHEWING TOBACCO
CIGARREC,TIME SINCE LAST SMOKED CIGAR
SLTTRY,AGE WHEN FIRST USED ANY SMOKLESS TOB - RECODE
SLTMFU,MONTH OF FIRST SMOKELESS TOBACCO USE - RECODE
SLTYFU,YEAR OF FIRST SMOKELESS TOBACCO USE - RECODE
ALCTRY,AGE WHEN FIRST DRANK ALCOHOLIC BEVERAGE
ALCMFU,MONTH OF FIRST ALCOHOL USE - RECODE
ALCREC,TIME SINCE LAST DRANK ALCOHOLIC BEVERAGE
ALCYRTOT,TOTAL # OF DAYS USED ALCOHOL IN PAST 12 MOS
ALBSTWAY,EASIEST WAY TO TELL US # DAYS DRANK ALCOHOL
ALDAYPYR,NUMBER DAYS DRANK ALCOHOL IN PAST 12 MOS
ALDAYPMO,# DAYS PER MONTH DRANK ALCOHOL IN PAST 12 MOS
ALDAYPWK,# DAYS PER WEEK DRANK ALCOHOL IN PAST 12 MOS
ALCDAYS,# DAYS HAD ONE OR MORE DRINKS PAST 30 DAYS
AL30EST,BEST ESTIMATE # DAYS HAD ONE OR MORE DRINKS
NODR30A,USUAL # OF DRINKS PER DAY PAST 30 DAYS
DR5DAY,# DAYS HAD FIVE OR MORE DRINKS PAST 30 DAYS
ALTOTFG,TRIMMING INDICATOR FOR ALCYRTOT
ALCYFU,YEAR OF FIRST ALCOHOL USE - RECODE
ALDYSFG,REVISION INDICATOR FOR ALCDAYS
ALFQFLG,TRIMMED ALCYRTOT IF R USED < 12 MOS
MJAGE,AGE WHEN FIRST USED MARIJUANA/HASHISH
MJREC,TIME SINCE LAST USED MARIJUANA/HASHISH
MJYRTOT,TOTAL # OF DAYS USED MARIJUANA IN PAST 12 MOS
MRBSTWAY,EASIEST WAY TO TELL US # DAYS USED MARIJUANA/HASH
MRDAYPYR,# DAYS USED MARIJUANA/HASHISH PAST 12 MONTHS
MRDAYPMO,# DAYS PER MO USED MARIJUANA/HASHISH PAST 12 MOS
MRDAYPWK,# DAYS PER WEEK USED MARIJUANA/HASHISH PAST 12 MOS
MJDAY30A,# DAYS USED MARIJUANA/HASHISH PAST 30 DAYS
MR30EST,BEST EST. # DAYS USED MARIJUANA PAST 30 DAYS
MJMFU,MONTH OF FIRST MARIJUANA/HASHISH USE - RECODE
MJYFU,YEAR OF FIRST MARIJUANA/HASHISH USE - RECODE
INHAGE,AGE WHEN FIRST USED INHALANTS
INHREC,TIME SINCE LAST USED INHALANTS
INHYRTOT,TOTAL # OF DAYS USED INHALANT PAST 12 MONTHS
INBSTWAY,EASIEST WAY TO TELL US # DAYS USED INHALANTS
INDAYPYR,# DAYS USED INHALANT PAST 12 MONTHS
INDAYPMO,# DAYS PER MONTH USED INHALANT PAST 12 MONTHS
INDAYPWK,# DAYS PER WEEK USED INHALANT PAST 12 MONTHS
INHDY30A,# DAYS USED INHALANT PAST 30 DAYS
IN30EST,BEST ESTIMATE # DAYS USED INHALANTS PAST 30 DAYS
INHMFU,MONTH OF FIRST INHALANT USE - RECODE
INHYFU,YEAR OF FIRST INHALANT USE - RECODE
INTOTFG,TRIMMING INDICATOR FOR INHYRTOT
INFQFLG,TRIMMED INHYRTOT IF R USED < 12 MOS
NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS)
IRMARIT,IMPUTATION REVISED MARITAL STATUS
IIMARIT,IMPUTATION INDICATOR MARITAL STATUS
EMPSTATY,IMPUTATION REVISED EMPLOYMENT STATUS
IIEMPSTY,IMPUTATION INDICATOR EMPLOYMENT STATUS
II2EMSTY,IMPUTATION INDICATOR EMPLOYMENT STATUS (DETAILS)
EMPSTAT4,IMPUTATION REVISED EMPLOYMENT STATUS 18+
IIEMPST4,IMPUTATION INDICATOR EMPLOYMENT STATUS 18+
EDUCCAT2,EDUCATION RECODE
ANALAGE,AGE WHEN FIRST USED PAIN RELIEVERS NONMEDICALLY
PRBSTWAY,EASIEST WAY TO TELL US # DAYS USED PAIN RELIEVER
PRDAYPYR,"# DAYS USED PAIN RELIEVER ""NM"" PAST 12 MONTHS"
PRDAYPMO,"# DAYS PER MO USED PAIN RELIEVER ""NM"" PAST 12 MOS"
PRDAYPWK,"# DAYS PER WK USED PAIN RELIEVER ""NM"" PAST 12 MOS"
TRANAGE,AGE WHEN FIRST USED TRANQUILIZERS NONMEDICALLY
TRBSTWAY,EASIEST WAY TO TELL US # DAYS USED TRANQUILIZER
TRDAYPYR,"# DAYS USED TRANQUILIZERS ""NM"" PAST 12 MONTHS"
TRDAYPMO,"# DAYS PER MO USED TRANQUILIZERS ""NM"" PAST 12 MOS"
TRDAYPWK,"# DAYS PER WK USED TRANQUILIZERS ""NM"" PAST 12 MOS"
SEDAGE,AGE WHEN FIRST USED SEDATIVES NONMEDICALLY
SVBSTWAY,EASIEST WAY TO TELL US # DAYS USED SEDATIVE
SVDAYPYR,"# DAYS USED SEDATIVE ""NM"" PAST 12 MONTHS"
SVDAYPMO,"# DAYS PER MONTH USED SEDATIVE ""NM"" PAST 12 MONTHS"
SVDAYPWK,"# DAYS PER WEEK USED SEDATIVE ""NM"" PAST 12 MONTHS"
ANLYRTOT,TOTAL # DAYS USED PAIN RELIEVER PAST 12 MONTHS
TRNYRTOT,TOTAL # DAYS USED TRANQUILIZERS PAST 12 MONTHS
SEDYRTOT,TOTAL # OF DAYS USED SEDATIVES PAST 12 MONTHS
ANALREC,TIME SINCE LAST USED PAIN RELIEVER NONMEDICALLY
TRANREC,TIME SINCE LAST USED TRANQUILIZERS NONMEDICALLY
SEDREC,TIME SINCE LAST USED SEDATIVES NONMEDICALLY
ANALYFU,YEAR OF FIRST PAIN RELIEVER USE - RECODE
TRANYFU,YEAR OF FIRST TRANQUILIZER USE - RECODE
SEDYFU,YEAR OF FIRST SEDATIVE USE - RECODE
ANALMFU,MONTH OF FIRST PAIN RELIEVER USE - RECODE
TRANMFU,MONTH OF FIRST TRANQUILIZER USE - RECODE
SEDMFU,MONTH OF FIRST SEDATIVE USE - RECODE
PRTOTFG,TRIMMING INDICATOR FOR ANLYRTOT
TRTOTFG,TRIMMING INDICATOR FOR TRNYRTOT
SVTOTFG,TRIMMING INDICATOR FOR SEDYRTOT
PRFQFLG,TRIMMED ANLYRTOT IF R USED < 12 MOS
TRFQFLG,TRIMMED TRNYRTOT IF R USED < 12 MOS
SVFQFLG,TRIMMED SEDYRTOT IF R USED < 12 MOS
AUINPYR,STAY OVNT IN HOSP FOR MH TRMT PST 12 MOS
AUINPSYH,MH TRMT IN PRIV/PUB PSYCH HOSP PST 12 MOS
AUINPGEN,MH TRMT IN PSYCH UNIT OF GEN HOSP PST 12 MOS
AUINMEDU,MH TRMT IN MED UNIT OF GEN HOSP PST 12 MOS
AUINAHSP,MH TRMT IN ANOTHER TYPE HOSP PST 12 MOS
AUINRESD,MH TRMT IN RESID TRMT CENTER PST 12 MOS
AUINSFAC,MH TRMT IN SOME OTHER FACIL PST 12 MOS
AUPINSLF,INPAT MH CARE PYMNT: SELF OR LIVE-IN FAM MBR
AUPINOFM,INPAT MH CARE PYMNT: FAM MBR NOT LIVING W/YOU
AUPINPHI,INPAT MH CARE PYMNT: PRIVATE HEALTH INSUR
AUPINMCR,INPATIENT MH CARE PAYMENT: MEDICARE
AUPINMCD,INPATIENT MH CARE PAYMENT: MEDICAID
AUPINREH,INPAT MH CARE PYMNT: REHABILITATION PROG
AUPINEMP,INPATIENT MH CARE PAYMENT: EMPLOYER
AUPINMIL,INPATIENT MH CARE PAYMENT: MILITARY SOURCE
AUPINPUB,INPAT MH CARE PYMNT: OTHER PUBLIC SOURCE
AUPINPRV,INPAT MH CARE PYMNT: OTHER PRIVATE SOURCE
AUPINFRE,INPATIENT MENTAL HEALTH CARE WAS FREE
AUOPTYR,RCVD OUTPATIENT MH TRMT PST 12 MOS
AUOPMENT,MH TRMT IN OUTPATIENT MH CNTR PST 12 MOS
AUOPTHER,"MH TRMT IN PRIV THERAPIST""S OFC PST 12 MOS"
AUOPDOC,"MH TRMT IN NON-CLINIC DR.""S OFC PST 12 MOS"
AUOPCLNC,MH TRMT IN OUTPAT MED CLINIC PST 12 MOS
AUOPDTMT,MH TRMT IN DAY TREATMENT PGM PST 12 MOS
AUOPOTOP,MH TRMT IN OTHER OUTPAT PLACE PST 12 MOS
AUPOPSLF,OUPAT MH CARE PYMNT: SELF OR LIVE-IN FAM MBR
AUPOPOFM,OUPAT MH CARE PYMNT: FAM MBR NOT LIVING W/YOU
AUPOPPHI,OUPAT MH CARE PYMNT: PRIVATE HEALTH INSUR
AUPOPMCR,OUTPATIENT MH CARE PAYMENT: MEDICARE
AUPOPMCD,OUTPATIENT MH CARE PAYMENT: MEDICAID
AUPOPREH,OUPAT MH CARE PYMNT: REHABILITATION PROG
AUPOPEMP,OUTPATIENT MH CARE PAYMENT: EMPLOYER
AUPOPMIL,OUTPATIENT MH CARE PAYMENT: MILITARY SOURCE
AUPOPPUB,OUPAT MH CARE PYMNT: OTHER PUBLIC SOURCE
AUPOPPRV,OUPAT MH CARE PYMNT: OTHER PRIVATE SOURCE
AUPOPFRE,OUTPATIENT MENTAL HEALTH CARE WAS FREE
AUPOPMOS,PAYMENT FOR MOST OF OUTPATIENT MH CARE
AUPOPAMT,AMT YOU/FAMILY PAID FOR OUPAT MH CARE
AURXYR,TOOK ANY PRESCRIP MED FOR MH COND PAST 12 MOS
AUUNMTYR,"NEEDED MH TRMT BUT DIDN""T GET IT PAST 12 MOS"
II2EMST4,IMP. IND. EMPLOYMENT STATUS 18+ (DETAILS)
HALLREC,TIME SINCE LAST USED HALLUCINOGENS
LSDREC,TIME SINCE LAST USED LSD
PCPREC,TIME SINCE LAST USED PCP
HALLAGE,AGE WHEN FIRST USED HALLUCINOGENS
HALYRTOT,TOTAL # OF DAYS USED HALLUCINOGENS IN PAST 12 MOS
HLBSTWAY,EASIEST WAY TO TELL US # DAYS USED HALLUCINOGEN
HLDAYPYR,# DAYS USED HALLUCINOGEN PAST 12 MONTHS
HLDAYPMO,# DAYS PER MONTH USED HALLUCINOGEN PAST 12 MONTHS
HLDAYPWK,# DAYS PER WEEK USED HALLUCINOGEN PAST 12 MONTHS
HAL30USE,# DAYS USED HALLUCINOGEN PAST 30 DAYS
HL30EST,BEST EST. # DAYS USED HALLUCINOGENS PAST 30 DAYS
LSDAGE,AGE WHEN FIRST USED LSD
PCPAGE,AGE WHEN FIRST USED PCP
ECSAGE,AGE WHEN FIRST USED ECSTASY
ECSREC,TIME SINCE LAST USED ECSTASY
HALMFU,MONTH OF FIRST HALLUCINOGEN USE - RECODE
LSDMFU,MONTH OF FIRST LSD USE - RECODE
PCPMFU,MONTH OF FIRST PCP USE - RECODE
ECSMFU,MONTH OF FIRST ECSTASY USE - RECODE
HALYFU,YEAR OF FIRST HALLUCINOGEN USE - RECODE
LSDYFU,YEAR OF FIRST LSD USE - RECODE
PCPYFU,YEAR OF FIRST PCP USE - RECODE
ECSYFU,YEAR OF FIRST ECSTASY USE - RECODE
HLTOTFG,TRIMMING INDICATOR FOR HALYRTOT
HLFQFLG,TRIMMED HALYRTOT IF R USED < 12 MOS
STIMREC,TIME SINCE LAST USED STIMULANTS NONMEDICALLY
METHREC,TIME SINCE LAST USED METHAMPHETAMINE
STIMAGE,AGE WHEN FIRST USED STIMULANTS NONMEDICALLY
STBSTWAY,EASIEST WAY TO TELL US # DAYS USED STIMULANT
STDAYPYR,"# DAYS USED STIMULANT ""NM"" PAST 12 MONTHS"
STDAYPMO,"# DAYS PER MO USED STIMULANT ""NM"" PAST 12 MONTHS"
STDAYPWK,"# DAYS PER WEEK USED STIMULANT ""NM"" PAST 12 MONTHS"
METHAGE,"AGE WHEN 1ST USED METHAMPH, DESOXYN, METHEDRINE"
MTHYRTOT,TOTAL # DAYS USED METHAMPHETAMINE PAST 12 MONTHS
MTBSTWAY,EASIEST WAY TO TELL US # DAYS USED METHAMPHETAMINE
MTDAYPYR,"# DAYS USED METHAMPHETAMINE ""NM"" PAST 12 MONTHS"
MTDAYPMO,"# DAYS PER MO USED METHAMPHETAMINE ""NM"" PST 12 MOS"
MTDAYPWK,"# DAYS PER WK USED METHAMPHETAMINE ""NM"" PST 12 MOS"
STMYRTOT,TOTAL # DAYS USED STIMULANTS PAST 12 MONTHS
STIMYFU,YEAR OF FIRST STIMULANT USE - RECODE
METHYFU,YEAR OF FIRST METHAMPHETAMINE USE - RECODE
STIMMFU,MONTH OF FIRST STIMULANT USE - RECODE
METHMFU,MONTH OF FIRST METHAMPHETAMINE USE - RECODE
STTOTFG,TRIMMING INDICATOR FOR STMYRTOT
