Variable,Description
ADOVER8,"SAQ: CAN OVERCOME ILLS W/O MED HELP,R8"
ADPAIN2,"SAQ 4WKS: PAIN LMTS NORMAL WORK VR-12,R2"
ADPAIN4,"SAQ 4WKS: PAIN LMTS NORMAL WORK VR-12,R4"
ADPAIN6,"SAQ 4WKS: PAIN LMTS NORMAL WORK VR-12,R6"
ADPAIN8,"SAQ 4WKS: PAIN LMTS NORMAL WORK VR-12,R8"
ADPAP2,"SAQ 5 YRS: HAD PAP SMEAR TEST,R2"
ADPAP6,"SAQ 5 YRS: HAD PAP SMEAR TEST,R6"
ADPAPG2,"SAQ: AGE AT LAST PAP SMEAR TEST,R2"
ADPAPG6,"SAQ: AGE AT LAST PAP SMEAR TEST,R6"
ADPCFL2,"SAQ 4WKS: FELT CALM/PEACEFUL VR-12,R2"
ADPCFL4,"SAQ 4WKS: FELT CALM/PEACEFUL VR-12,R4"
ADPCFL6,"SAQ 4WKS: FELT CALM/PEACEFUL VR-12,R6"
ADPCFL8,"SAQ 4WKS: FELT CALM/PEACEFUL VR-12,R8"
ADPHONTRT6,"SAQ 12MOS:COUNSL TRTMNT TELEPH HOTLNE,R6"
ADPNEU2,"SAQ: EVER HAD PNEUMONIA SHOT,R2"
ADPNEU6,"SAQ: EVER HAD PNEUMONIA SHOT,R6"
ADPROBTRT6,"SAQ 12MOS:PROBLEM NEEDD COUNSL TRTMNT,R6"
ADPROS2,"SAQ: HAD PROSTATE CANCER,R2"
ADPROS6,"SAQ: HAD PROSTATE CANCER,R6"
ADPROX2,"SAQ: RELATIONSHIP OF PROXY TO ADULT,R2"
ADPROX4,"SAQ: RELATIONSHIP OF PROXY TO ADULT,R4"
ADPROX6,"SAQ: RELATIONSHIP OF PROXY TO ADULT,R6"
ADPROX8,"SAQ: RELATIONSHIP OF PROXY TO ADULT,R8"
ADPRST2,"SAQ 4WKS: FELT DOWNHEARTED/DEPR VR-12,R2"
ADPRST4,"SAQ 4WKS: FELT DOWNHEARTED/DEPR VR-12,R4"
ADPRST6,"SAQ 4WKS: FELT DOWNHEARTED/DEPR VR-12,R6"
ADPRST8,"SAQ 4WKS: FELT DOWNHEARTED/DEPR VR-12,R8"
ADPRTM4,"SAQ 12MOS:DR SPENT ENUF TIME WITH YOU,R4"
ADPRTM8,"SAQ 12MOS:DR SPENT ENUF TIME WITH YOU,R8"
ADPSAG2,"SAQ: AGE LAST PSA TEST,R2"
ADPSAG6,"SAQ: AGE LAST PSA TEST,R6"
ADQTHP2,"SAQ 12MOS: DR ADVS OTH WAY QUIT TOBAC,R2"
ADQTHP6,"SAQ 12MOS: DR ADVS OTH WAY QUIT TOBAC,R6"
ADQTMD2,"SAQ 12MOS: DR ADVS MEDS TO QUIT TOBAC,R2"
ADQTMD6,"SAQ 12MOS: DR ADVS MEDS TO QUIT TOBAC,R6"
ADQTTB2,"SAQ 12MOS: DID DR ADVISE QUIT TOBACCO,R2"
ADQTTB6,"SAQ 12MOS: DID DR ADVISE QUIT TOBACCO,R6"
ADRATETRT6,"SAQ 12MOS:RATE COUNSEL TRTMENT (0-10),R6"
ADRELTRT6,"SAQ 12MOS:COUNSL TRTMNT RELIG ADVISOR,R6"
ADRESP4,"SAQ 12 MOS: DR SHOWED RESPECT,R4"
ADRESP8,"SAQ 12 MOS: DR SHOWED RESPECT,R8"
ADREST2,"SAQ 30 DAYS: HOW OFTEN FELT RESTLESS,R2"
ADREST4,"SAQ 30 DAYS: HOW OFTEN FELT RESTLESS,R4"
ADREST6,"SAQ 30 DAYS: HOW OFTEN FELT RESTLESS,R6"
ADREST8,"SAQ 30 DAYS: HOW OFTEN FELT RESTLESS,R8"
ADRISK4,"SAQ: MORE LIKELY TO TAKE RISKS,R4"
ADRISK8,"SAQ: MORE LIKELY TO TAKE RISKS,R8"
ADRNK42,"SAQ 12 MTHS: HAD 4+ DRINKS PER DAY,R2"
ADRNK46,"SAQ 12 MTHS: HAD 4+ DRINKS PER DAY,R6"
ADRNK52,"SAQ 12 MTHS: HAD 5+ DRINKS PER DAY,R2"
ADRNK56,"SAQ 12 MTHS: HAD 5+ DRINKS PER DAY,R6"
ADRTCR4,"SAQ 12MOS: MADE APPT ROUTINE MED CARE,R4"
ADRTCR8,"SAQ 12MOS: MADE APPT ROUTINE MED CARE,R8"
ADRTWW4,"SAQ 12 MOS: GOT MED APPT WHEN WANTED,R4"
ADRTWW8,"SAQ 12 MOS: GOT MED APPT WHEN WANTED,R8"
ADSAD2,"SAQ 30 DAYS: HOW OFTEN FELT SAD,R2"
ADSAD4,"SAQ 30 DAYS: HOW OFTEN FELT SAD,R4"
ADSAD6,"SAQ 30 DAYS: HOW OFTEN FELT SAD,R6"
ADSAD8,"SAQ 30 DAYS: HOW OFTEN FELT SAD,R8"
ADSCHTRT6,"SAQ 12MOS:COUNSL TRTMNT SCHL RESOURCE,R6"
ADSEX2,"SAQ: SURVEY GENDER,R2"
ADSEX6,"SAQ: SURVEY GENDER,R6"
ADSGMD2,"SAQ 5 YRS: HAD SIGMOIDOSCOPY,R2"
ADSGMD6,"SAQ 5 YRS: HAD SIGMOIDOSCOPY,R6"
ADSHNG2,"SAQ: EVER HAD SHINGLES VACCINE,R2"
ADSHNG6,"SAQ: EVER HAD SHINGLES VACCINE,R6"
ADSLEEP6,"SAQ: HOW OFTEN TROUBLE WITH SLEEP,R6"
ADSMOK4,"SAQ: CURRENTLY SMOKE,R4"
ADSMOK8,"SAQ: CURRENTLY SMOKE,R8"
ADSNSP4,"SAQ 12MOS: HOW ESY TO SEE SPECIALIST,R4"
ADSNSP8,"SAQ 12MOS: HOW ESY TO SEE SPECIALIST,R8"
ADSOCA2,"SAQ 4WKS: HLTH STOPPED SOC ACTV VR-12,R2"
ADSOCA4,"SAQ 4WKS: HLTH STOPPED SOC ACTV VR-12,R4"
ADSOCA6,"SAQ 4WKS: HLTH STOPPED SOC ACTV VR-12,R6"
ADSOCA8,"SAQ 4WKS: HLTH STOPPED SOC ACTV VR-12,R8"
ADSPCL4,"SAQ 12 MOS: NEEDED TO SEE SPECIALIST,R4"
ADSPCL8,"SAQ 12 MOS: NEEDED TO SEE SPECIALIST,R8"
ADSTAL2,"SAQ: 12 MTHS: ADVISED TO STOP ALCOHOL,R2"
ADSTAL6,"SAQ 12 MTHS: ADVISED TO STOP ALCOHOL,R6"
ADTBAC2,"SAQ 12 MTHS: DID DR ASK ABOUT TOBACCO,R2"
ADTBAC6,"SAQ 12 MTHS: DID DR ASK ABOUT TOBACCO,R6"
ADTLHW4,"SAQ 12MOS: DR ASKED R DESC HOW FOLLOW,R4"
ADTLHW8,"SAQ 12MOS: DR ASKED R DESC HOW FOLLOW,R8"
ADTRTEXP6,"SAQ:WORRY FAM FINANCE STBILITY M HLTH,R6"
ADTRTHLP6,"SAQ 12 MTHS: COUNSEL TRTMENT HELPED,R6"
ADTRTPD6,"SAQ 12MOS:COUNSL TRTMNT PAID BY OTHER,R6"
ADUNABTRT6,"SAQ 12MOS:NOT GET NEEDD COUNSL TRTMNT,R6"
ADUPRO4,PRBLM GETTING ALONG W/ADULTS (5-17)-R4
ADUPRO8,PRBLM GETTING ALONG W/ADULTS (5-17)-R8
ADUTRM2,"SAQ: HAD HYSTRCTMY/CRVCL CANCER,R2"
ADUTRM6,"SAQ: HAD HYSTRCTMY/CRVCL CANCER,R6"
ADWGHD2,"SAQ 12 MTHS: WEIGHED BY PROFESSIONAL,R2"
ADWGHD6,"SAQ 12 MTHS: WEIGHED BY PROFESSIONAL,R6"
ADWKLM2,"SAQ 4WKS:WORK LMT B/C PHY PROBS VR-12,R2"
ADWKLM4,"SAQ 4WKS:WORK LMT B/C PHY PROBS VR-12,R4"
ADWKLM6,"SAQ 4WKS:WORK LMT B/C PHY PROBS VR-12,R6"
ADWKLM8,"SAQ 4WKS:WORK LMT B/C PHY PROBS VR-12,R8"
ADWRTH2,"SAQ 30 DAYS: HOW OFTEN FELT WORTHLESS,R2"
ADWRTH4,"SAQ 30 DAYS: HOW OFTEN FELT WORTHLESS,R4"
ADWRTH6,"SAQ 30 DAYS: HOW OFTEN FELT WORTHLESS,R6"
ADWRTH8,"SAQ 30 DAYS: HOW OFTEN FELT WORTHLESS,R8"
ADWTAD2,"SAQ 12 MTHS: WEIGHT MANAGEMENT ADVICE,R2"
ADWTAD6,"SAQ 12 MTHS: WEIGHT MANAGEMENT ADVICE,R6"
AFRDCA2,COULD NOT AFFORD MED CARE-R2
AFRDCA4,COULD NOT AFFORD MED CARE-R4
AFRDCA6,COULD NOT AFFORD MED CARE-R6
AFRDCA8,COULD NOT AFFORD MED CARE-R8
AFRDDN2,COULD NOT AFFORD DENTAL CARE-R2
AFRDDN4,COULD NOT AFFORD DENTAL CARE-R4
AFRDDN6,COULD NOT AFFORD DENTAL CARE-R6
AFRDDN8,COULD NOT AFFORD DENTAL CARE-R8
AFRDPM2,COULD NOT AFFORD PMED CARE-R2
AFRDPM4,COULD NOT AFFORD PMED CARE-R4
AFRDPM6,COULD NOT AFFORD PMED CARE-R6
AFRDPM8,COULD NOT AFFORD PMED CARE-R8
AFTHOU2,HOW DIFF CONTACT USC AFT HOURS-R2
AFTHOU4,HOW DIFF CONTACT USC AFT HOURS-R4
AFTHOU6,HOW DIFF CONTACT USC AFT HOURS-R6
AFTHOU8,HOW DIFF CONTACT USC AFT HOURS-R8
AGE1X,AGE - R1 (EDITED/IMPUTED)
AGE2X,AGE - R2 (EDITED/IMPUTED)
AGE3X,AGE - R3 (EDITED/IMPUTED)
AGE4X,AGE - R4 (EDITED/IMPUTED)
AGE5X,AGE - R5 (EDITED/IMPUTED)
AGE6X,AGE - R6 (EDITED/IMPUTED)
AGE7X,AGE - R7 (EDITED/IMPUTED)
AGE8X,AGE - R8 (EDITED/IMPUTED)
AGE9X,AGE - R9 (EDITED/IMPUTED)
AGELSTY1,PERSON'S AGE LAST TIME ELIGIBLE 18
AGELSTY2,PERSON'S AGE LAST TIME ELIGIBLE 19
AGELSTY3,PERSON'S AGE LAST TIME ELIGIBLE 20
AGELSTY4,PERSON'S AGE LAST TIME ELIGIBLE 21
AGEY1X,AGE AS OF 12/31/18 (EDITED/IMPUTED)
AGEY2X,AGE AS OF 12/31/19 (EDITED/IMPUTED)
AGEY3X,AGE AS OF 12/31/20 (EDITED/IMPUTED)
AGEY4X,AGE AS OF 12/31/21 (EDITED/IMPUTED)
AIDHLP1,USED ASSISTIVE DEVICES-R1
AIDHLP3,USED ASSISTIVE DEVICES-R3
AIDHLP5,USED ASSISTIVE DEVICES-R5
AIDHLP7,USED ASSISTIVE DEVICES-R7
ALIIMPY1,ALIMONY INCOME IMPUTATION FLAG 18
ALIIMPY2,ALIMONY INCOME IMPUTATION FLAG 19
ALIIMPY3,ALIMONY INCOME IMPUTATION FLAG 20
ALIIMPY4,ALIMONY INCOME IMPUTATION FLAG 21
ALIMPY1X,PERSON'S ALIMONY INCOME 18
ALIMPY2X,PERSON'S ALIMONY INCOME 19
ALIMPY3X,PERSON'S ALIMONY INCOME 20
ALIMPY4X,PERSON'S ALIMONY INCOME 21
ALL9RDS,INSCOPE AND DATA COLLECTED ALL 9 ROUNDS
ANGIAGY1,AGE OF DIAGNOSIS-ANGINA 18
ANGIAGY2,AGE OF DIAGNOSIS-ANGINA 19
ANGIAGY3,AGE OF DIAGNOSIS-ANGINA 20
ANGIAGY4,AGE OF DIAGNOSIS-ANGINA 21
ANGIDXY1,ANGINA DIAGNOSIS (>17) 18
ANGIDXY2,ANGINA DIAGNOSIS (>17) 19
ANGIDXY3,ANGINA DIAGNOSIS (>17) 20
ANGIDXY4,ANGINA DIAGNOSIS (>17) 21
ANYLMIY1,"ANY LIMITATION IN P23R1,2 18"
ANYLMIY2,"ANY LIMITATION IN P23R3,4 19"
ANYLMIY3,"ANY LIMITATION IN P23R6,7 20"
ANYLMIY4,"ANY LIMITATION IN P23R8,9 21"
ARTHAGY1,AGE OF DIAGNOSIS-ARTHRITIS 18
ARTHAGY2,AGE OF DIAGNOSIS-ARTHRITIS 19
ARTHAGY3,AGE OF DIAGNOSIS-ARTHRITIS 20
ARTHAGY4,AGE OF DIAGNOSIS-ARTHRITIS 21
ARTHDXY1,ARTHRITIS DIAGNOSIS (>17) 18
ARTHDXY2,ARTHRITIS DIAGNOSIS (>17) 19
ARTHDXY3,ARTHRITIS DIAGNOSIS (>17) 20
ARTHDXY4,ARTHRITIS DIAGNOSIS (>17) 21
ARTHTPY1,TYPE OF ARTHRITIS DIAGNOSED (>17) 18
ARTHTPY2,TYPE OF ARTHRITIS DIAGNOSED (>17) 19
ARTHTPY3,TYPE OF ARTHRITIS DIAGNOSED (>17) 20
ARTHTPY4,TYPE OF ARTHRITIS DIAGNOSED (>17) 21
ASACUT1,"USED ACUTE PRSCRBD INHALER LAST 3 MOS,R1"
ASACUT3,"USED ACUTE PRSCRBD INHALER LAST 3 MOS,R3"
ASACUT5,"USED ACUTE PRSCRBD INHALER LAST 3 MOS,R5"
ASACUT7,"USED ACUTE PRSCRBD INHALER LAST 3 MOS,R7"
ASATAK1,ASTHMA ATTACK LAST 12 MOS- R1
ASATAK3,ASTHMA ATTACK LAST 12 MOS- R3
ASATAK5,ASTHMA ATTACK LAST 12 MOS- R5
ASATAK7,ASTHMA ATTACK LAST 12 MOS- R7
ASDALY1,NOW TAKE PREV DAILY ASTHMA MEDS-R1
ASDALY3,NOW TAKE PREV DAILY ASTHMA MEDS-R3
ASDALY7,NOW TAKE PREV DAILY ASTHMA MEDS-R7
ASEVFL1,EVER USED PEAK FLOW METER-R1
ASEVFL3,EVER USED PEAK FLOW METER-R3
ASEVFL7,EVER USED PEAK FLOW METER-R7
ASIANP2,IS PROVIDER ASIAN-R2
ASIANP4,IS PROVIDER ASIAN-R4
ASIANP6,IS PROVIDER ASIAN-R6
ASIANP8,IS PROVIDER ASIAN-R8
ASMRCN1,"USED >3 ACUTE CNSTRS RX INH LAST 3MOS,R1"
ASMRCN3,"USED >3 ACUTE CNSTRS RX INH LAST 3MOS,R3"
ASMRCN7,"USED >3 ACUTE CNSTRS RX INH LAST 3MOS,R7"
ASPKFL1,HAVE PEAK FLOW METER AT HOME-R1
ASPKFL3,HAVE PEAK FLOW METER AT HOME-R3
ASPKFL5,HAVE PEAK FLOW METER AT HOME-R5
ASPKFL7,HAVE PEAK FLOW METER AT HOME-R7
ASPREV1,EVER USED PREV DAILY ASTHMA MEDS-R1
ASPREV3,EVER USED PREV DAILY ASTHMA MEDS-R3
ASPREV5,EVER USED PREV DAILY ASTHMA MEDS-R5
ASPREV7,EVER USED PREV DAILY ASTHMA MEDS-R7
ASSTIL1,DOES PERSON STILL HAVE ASTHMA-R1
ASSTIL3,DOES PERSON STILL HAVE ASTHMA-R3
ASSTIL5,DOES PERSON STILL HAVE ASTHMA-R5
ASSTIL7,DOES PERSON STILL HAVE ASTHMA-R7
ASTHAGY1,AGE OF DIAGNOSIS-ASTHMA 18
ASTHAGY2,AGE OF DIAGNOSIS-ASTHMA 19
ASTHAGY3,AGE OF DIAGNOSIS-ASTHMA 20
ASTHAGY4,AGE OF DIAGNOSIS-ASTHMA 21
ASTHDXY1,ASTHMA DIAGNOSIS 18
ASTHDXY2,ASTHMA DIAGNOSIS 19
ASTHDXY3,ASTHMA DIAGNOSIS 20
